cell_id,Dendrocolaptes picumnus,Dendrocolaptes picumnus [puncticollis Group],Dendrocolaptes picumnus [picumnus Group],Dendrocolaptes picumnus pallescens/casaresi
834520fffffffff,1.0,0.0,0.0,0.0
834525fffffffff,19.0,0.0,0.0,0.0
835f01fffffffff,1.0,0.0,1.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0
836621fffffffff,2.0,0.0,2.0,0.0
83665bfffffffff,11.0,0.0,0.0,0.0
8366b4fffffffff,9.0,0.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,3.0,2.0,0.0,0.0
836758fffffffff,1.0,0.0,0.0,0.0
83675efffffffff,6.0,0.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0,0.0
836d69fffffffff,27.0,0.0,0.0,0.0
838af6fffffffff,1.0,0.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0,0.0
83a941fffffffff,2.0,0.0,0.0,0.0
83a94efffffffff,3.0,0.0,0.0,0.0
83b342fffffffff,8.0,0.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0,0.0
83b35bfffffffff,2.0,0.0,0.0,0.0
