cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
8354e1fffffffff,1.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0
836ac3fffffffff,3.0,0.0,0.0
836acefffffffff,9.0,4.0,0.0
836addfffffffff,5.0,0.0,0.0
836aebfffffffff,2.0,2.0,0.0
837a49fffffffff,1.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0
839602fffffffff,1.0,0.0,0.0
839620fffffffff,1.0,0.0,0.0
839626fffffffff,1.0,1.0,0.0
839724fffffffff,1.0,1.0,0.0
839741fffffffff,2.0,0.0,0.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd2fffffffff,2.0,0.0,0.0
83bcd3fffffffff,2.0,0.0,0.0
83bcf2fffffffff,2.0,0.0,0.0
