cell_id,Phaethon lepturus,Phaethon lepturus lepturus,Phaethon lepturus fulvus,Phaethon lepturus europae,Phaethon lepturus catesbyi,Phaethon lepturus dorotheae,Phaethon lepturus ascensionis
842a4c1ffffffff,463.0,0.0,0.0,0.0,0.0,0.0,0.0
842a4c9ffffffff,268.0,0.0,0.0,0.0,0.0,0.0,0.0
842a4cbffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
842a4ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842a52bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8444847ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8444861ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8444869ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
844486bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
844486dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8444985ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b09ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b13ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b17ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8444b6bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
844510dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84454a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84455cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8445847ffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8445a33ffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0
8445b07ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8445b23ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8446417ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8446423ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
