cell_id,Indicator minor,Indicator minor conirostris/ussheri,Indicator minor [minor Group]
84540b7ffffffff,2.0,0.0,2.0
84541a5ffffffff,16.0,0.0,14.0
84541b5ffffffff,3.0,0.0,3.0
84541b9ffffffff,5.0,0.0,5.0
84541bbffffffff,1.0,0.0,0.0
8454a93ffffffff,59.0,0.0,52.0
8454a99ffffffff,1.0,0.0,0.0
8454a9bffffffff,45.0,0.0,38.0
8454ad9ffffffff,2.0,0.0,2.0
8454e21ffffffff,2.0,0.0,0.0
8454e41ffffffff,3.0,0.0,3.0
8454e4bffffffff,2.0,0.0,2.0
8454e4dffffffff,8.0,0.0,8.0
8454e51ffffffff,7.0,0.0,6.0
8454e59ffffffff,5.0,0.0,5.0
8454e5bffffffff,4.0,0.0,2.0
8454f11ffffffff,2.0,0.0,2.0
8454f47ffffffff,1.0,0.0,0.0
8454f49ffffffff,4.0,0.0,4.0
8454f4dffffffff,26.0,0.0,20.0
8454f51ffffffff,1.0,0.0,1.0
845890bffffffff,2.0,0.0,2.0
8458969ffffffff,19.0,5.0,10.0
8458a4dffffffff,3.0,0.0,3.0
8458a65ffffffff,4.0,0.0,4.0
8458a69ffffffff,1.0,0.0,1.0
8458b27ffffffff,2.0,2.0,0.0
8458c8bffffffff,2.0,0.0,2.0
8458cd9ffffffff,1.0,0.0,1.0
8458d33ffffffff,3.0,3.0,0.0
8458db5ffffffff,1.0,1.0,0.0
8458debffffffff,1.0,0.0,1.0
8458e2dffffffff,5.0,0.0,5.0
8458e67ffffffff,11.0,0.0,7.0
8459827ffffffff,2.0,0.0,2.0
8459985ffffffff,9.0,0.0,8.0
84599adffffffff,1.0,0.0,1.0
84599e5ffffffff,2.0,0.0,1.0
84599e7ffffffff,10.0,0.0,10.0
846a581ffffffff,3.0,0.0,3.0
846a5a9ffffffff,12.0,0.0,11.0
846a697ffffffff,2.0,0.0,2.0
846ac03ffffffff,16.0,2.0,12.0
846ac0bffffffff,8.0,2.0,6.0
846ac15ffffffff,91.0,14.0,66.0
846ac31ffffffff,3.0,0.0,3.0
846ac35ffffffff,3.0,0.0,2.0
846ac3dffffffff,7.0,0.0,4.0
846ac5bffffffff,2.0,0.0,2.0
846ac89ffffffff,19.0,0.0,17.0
846ac93ffffffff,30.0,0.0,29.0
846ac9bffffffff,4.0,0.0,4.0
846acc3ffffffff,4.0,0.0,4.0
846acc7ffffffff,6.0,0.0,2.0
846accbffffffff,3.0,0.0,3.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,1.0,0.0,1.0
846ace5ffffffff,87.0,0.0,81.0
846ad81ffffffff,5.0,0.0,3.0
846ad83ffffffff,1.0,0.0,1.0
846ad85ffffffff,3.0,0.0,2.0
846ad89ffffffff,7.0,0.0,4.0
846ad8bffffffff,13.0,0.0,13.0
846ad8dffffffff,2.0,0.0,2.0
846ad99ffffffff,4.0,0.0,4.0
846ad9dffffffff,4.0,0.0,4.0
846adc1ffffffff,63.0,29.0,32.0
846adc5ffffffff,40.0,2.0,38.0
846adc7ffffffff,5.0,0.0,4.0
846adc9ffffffff,25.0,4.0,18.0
846add7ffffffff,3.0,0.0,3.0
846add9ffffffff,2.0,0.0,2.0
846ade7ffffffff,3.0,0.0,0.0
846ae85ffffffff,2.0,0.0,2.0
846aea1ffffffff,15.0,1.0,14.0
846aea3ffffffff,3.0,0.0,3.0
846aea9ffffffff,2.0,0.0,2.0
846aeabffffffff,5.0,1.0,4.0
846aee3ffffffff,19.0,0.0,19.0
846bac9ffffffff,1.0,0.0,1.0
84750d1ffffffff,32.0,29.0,1.0
8475195ffffffff,1.0,1.0,0.0
8475201ffffffff,23.0,0.0,19.0
8475203ffffffff,2.0,0.0,2.0
8475207ffffffff,36.0,0.0,34.0
847520bffffffff,7.0,0.0,3.0
847522dffffffff,2.0,0.0,2.0
8475285ffffffff,1.0,0.0,0.0
8475293ffffffff,9.0,0.0,8.0
8475295ffffffff,3.0,3.0,0.0
847529bffffffff,9.0,0.0,9.0
84752a1ffffffff,1.0,1.0,0.0
84752abffffffff,9.0,7.0,2.0
84752adffffffff,3.0,1.0,2.0
84752d3ffffffff,3.0,0.0,3.0
847532bffffffff,2.0,0.0,2.0
8475a83ffffffff,1.0,1.0,0.0
847a401ffffffff,16.0,0.0,14.0
847a403ffffffff,3.0,0.0,3.0
847a405ffffffff,6.0,0.0,6.0
847a407ffffffff,32.0,0.0,31.0
847a409ffffffff,4.0,0.0,3.0
847a40bffffffff,4.0,0.0,4.0
847a40dffffffff,2.0,0.0,1.0
847a413ffffffff,107.0,0.0,94.0
847a41bffffffff,13.0,0.0,13.0
847a41dffffffff,19.0,0.0,19.0
847a451ffffffff,1.0,0.0,1.0
847a453ffffffff,8.0,0.0,6.0
847a455ffffffff,5.0,0.0,5.0
847a457ffffffff,5.0,0.0,2.0
847a459ffffffff,29.0,0.0,29.0
847a45bffffffff,7.0,0.0,7.0
847a45dffffffff,2.0,0.0,2.0
847a481ffffffff,34.0,0.0,33.0
