cell_id,Hypsipetes leucocephalus,Hypsipetes leucocephalus [psaroides Group],Hypsipetes leucocephalus sinensis/ambiens,Hypsipetes leucocephalus [leucocephalus Group],Hypsipetes leucocephalus perniger,Hypsipetes leucocephalus nigerrimus
84209a1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84209a5ffffffff,242.0,0.0,0.0,0.0,0.0,0.0
84209a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84209abffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84209b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84209b7ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
84209e1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84209e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84209e7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8430911ffffffff,20.0,0.0,0.0,3.0,0.0,0.0
843091dffffffff,21.0,0.0,0.0,2.0,0.0,0.0
8430929ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8430963ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8430985ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8430989ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
843098dffffffff,12.0,0.0,0.0,5.0,0.0,0.0
84309a3ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
84309a5ffffffff,213.0,0.0,0.0,169.0,0.0,0.0
84309a7ffffffff,4.0,0.0,0.0,4.0,0.0,0.0
84309adffffffff,5.0,0.0,0.0,5.0,0.0,0.0
84309b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84309bdffffffff,11.0,0.0,0.0,11.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84309e3ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84309e7ffffffff,5.0,0.0,0.0,5.0,0.0,0.0
843c021ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c027ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c029ffffffff,325.0,29.0,0.0,0.0,0.0,0.0
843c02bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843c02dffffffff,409.0,17.0,0.0,0.0,0.0,0.0
843c035ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c063ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
843c065ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
843c067ffffffff,167.0,2.0,0.0,0.0,0.0,0.0
843c069ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
843c06dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843c0a1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c0a3ffffffff,189.0,11.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,573.0,9.0,0.0,0.0,0.0,0.0
843c0a7ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
843c0a9ffffffff,29.0,0.0,0.0,0.0,0.0,0.0
843c0adffffffff,383.0,11.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,274.0,21.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,143.0,15.0,0.0,0.0,0.0,0.0
843c0bdffffffff,41.0,2.0,0.0,0.0,0.0,0.0
843c159ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
843c15bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,739.0,0.0,0.0,0.0,0.0,0.0
843c19bffffffff,13.0,0.0,0.0,0.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,309.0,3.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,45.0,0.0,0.0,0.0,0.0,0.0
843c1dbffffffff,71.0,2.0,0.0,0.0,0.0,0.0
843c303ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843c307ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843c315ffffffff,75.0,0.0,0.0,0.0,0.0,0.0
843c317ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
