cell_id,Ptilinopus regina,Ptilinopus regina xanthogaster/roseipileum,Ptilinopus regina [regina Group]
837290fffffffff,26.0,0.0,0.0
839404fffffffff,32.0,0.0,0.0
839418fffffffff,3.0,0.0,0.0
83941afffffffff,3.0,0.0,0.0
839421fffffffff,4.0,0.0,0.0
839422fffffffff,2.0,0.0,0.0
839423fffffffff,92.0,0.0,0.0
839428fffffffff,9.0,0.0,0.0
83942cfffffffff,10.0,0.0,0.0
83942dfffffffff,65.0,0.0,0.0
839431fffffffff,26.0,0.0,0.0
839442fffffffff,1.0,0.0,0.0
839450fffffffff,245.0,0.0,0.0
839451fffffffff,738.0,0.0,0.0
839453fffffffff,49.0,0.0,0.0
839455fffffffff,14.0,0.0,0.0
839458fffffffff,2.0,0.0,0.0
839459fffffffff,4.0,0.0,0.0
83945cfffffffff,52.0,0.0,0.0
83945efffffffff,2.0,0.0,0.0
839460fffffffff,100.0,0.0,0.0
839466fffffffff,21.0,0.0,0.0
8394adfffffffff,3.0,0.0,0.0
8394aefffffffff,39.0,0.0,0.0
839553fffffffff,3.0,0.0,0.0
839558fffffffff,15.0,0.0,0.0
83955afffffffff,15.0,0.0,0.0
839c00fffffffff,77.0,0.0,0.0
839c05fffffffff,35.0,0.0,0.0
839c19fffffffff,272.0,0.0,0.0
839c20fffffffff,17.0,0.0,0.0
839c21fffffffff,5.0,0.0,0.0
839c23fffffffff,614.0,0.0,0.0
839c25fffffffff,20.0,0.0,0.0
839c58fffffffff,17.0,0.0,0.0
839c5afffffffff,24.0,0.0,0.0
839c5dfffffffff,4.0,0.0,0.0
839ce2fffffffff,3.0,0.0,0.0
839ce4fffffffff,7.0,0.0,0.0
839ce9fffffffff,60.0,0.0,0.0
839cf5fffffffff,27.0,0.0,0.0
839d01fffffffff,44.0,0.0,0.0
839d0bfffffffff,29.0,0.0,0.0
839d0cfffffffff,104.0,0.0,0.0
839d0efffffffff,18.0,0.0,0.0
839d21fffffffff,30.0,0.0,0.0
839d23fffffffff,16.0,0.0,0.0
839d24fffffffff,25.0,0.0,0.0
839d25fffffffff,24.0,0.0,0.0
839d2afffffffff,4.0,0.0,0.0
83be08fffffffff,4.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0
83be0dfffffffff,3.0,0.0,0.0
83be18fffffffff,29.0,0.0,0.0
83be1afffffffff,33.0,0.0,0.0
83be1dfffffffff,16.0,0.0,0.0
83be88fffffffff,216.0,0.0,0.0
83be89fffffffff,66.0,0.0,0.0
83be8bfffffffff,52.0,0.0,0.0
83be8dfffffffff,1286.0,0.0,0.0
83bea9fffffffff,380.0,0.0,0.0
83beabfffffffff,205.0,0.0,0.0
83bef2fffffffff,21.0,0.0,0.0
83bef6fffffffff,206.0,0.0,0.0
