cell_id,Chaetura spinicaudus,Chaetura spinicaudus aetherodroma,Chaetura spinicaudus spinicaudus,Chaetura spinicaudus aethalea
825f07fffffffff,208.0,0.0,0.0,0.0
825f0ffffffffff,30.0,0.0,0.0,0.0
825f17fffffffff,144.0,0.0,0.0,0.0
825f1ffffffffff,23.0,0.0,0.0,0.0
825f2ffffffffff,1078.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0
825f47fffffffff,37.0,0.0,0.0,0.0
825f57fffffffff,18.0,0.0,0.0,0.0
825f5ffffffffff,644.0,0.0,0.0,0.0
825f6ffffffffff,17.0,0.0,0.0,0.0
825f77fffffffff,111.0,0.0,0.0,0.0
826607fffffffff,3.0,0.0,0.0,0.0
82660ffffffffff,76.0,4.0,0.0,0.0
826617fffffffff,1387.0,0.0,0.0,0.0
82661ffffffffff,159.0,0.0,0.0,0.0
826627fffffffff,102.0,0.0,0.0,0.0
826637fffffffff,4.0,0.0,0.0,0.0
826647fffffffff,4.0,0.0,0.0,0.0
82664ffffffffff,3.0,0.0,0.0,0.0
826667fffffffff,12.0,0.0,0.0,0.0
82666ffffffffff,10.0,0.0,0.0,0.0
8266a7fffffffff,3880.0,0.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0,0.0
8266d7fffffffff,435.0,5.0,0.0,0.0
8266e7fffffffff,19.0,2.0,0.0,0.0
8266f7fffffffff,244.0,0.0,0.0,0.0
828047fffffffff,107.0,0.0,0.0,0.0
82804ffffffffff,16.0,0.0,0.0,0.0
828057fffffffff,9.0,0.0,0.0,0.0
828067fffffffff,30.0,0.0,0.0,0.0
82806ffffffffff,11.0,0.0,0.0,0.0
828077fffffffff,6.0,0.0,0.0,0.0
828107fffffffff,1.0,0.0,0.0,0.0
82810ffffffffff,6.0,0.0,0.0,0.0
828137fffffffff,1.0,0.0,0.0,0.0
828147fffffffff,6.0,0.0,0.0,0.0
82814ffffffffff,48.0,0.0,0.0,0.0
82815ffffffffff,15.0,0.0,0.0,0.0
828167fffffffff,23.0,0.0,0.0,0.0
828a17fffffffff,5.0,0.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0
828a87fffffffff,77.0,0.0,0.0,0.0
828a8ffffffffff,15.0,0.0,0.0,0.0
828a97fffffffff,27.0,0.0,0.0,0.0
828a9ffffffffff,29.0,0.0,0.0,0.0
828aaffffffffff,98.0,0.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0,0.0
828adffffffffff,52.0,0.0,0.0,0.0
828af7fffffffff,765.0,0.0,0.0,0.0
828b0ffffffffff,4.0,0.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0
82a597fffffffff,3.0,0.0,0.0,0.0
