cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
844ba09ffffffff,44.0,0.0,0.0,0.0,0.0
844c883ffffffff,170.0,0.0,0.0,0.0,0.0
844c887ffffffff,20.0,0.0,0.0,0.0,0.0
844c891ffffffff,1.0,0.0,1.0,0.0,0.0
844c893ffffffff,8.0,0.0,0.0,0.0,0.0
844c895ffffffff,20.0,0.0,0.0,0.0,0.0
844c899ffffffff,9.0,0.0,0.0,0.0,0.0
844c89bffffffff,19.0,0.0,0.0,0.0,0.0
844c89dffffffff,2.0,0.0,0.0,0.0,0.0
844c8a9ffffffff,1.0,0.0,0.0,0.0,0.0
844c8abffffffff,15.0,0.0,0.0,0.0,0.0
844c8b9ffffffff,1.0,0.0,0.0,0.0,0.0
844cc61ffffffff,95.0,0.0,2.0,0.0,0.0
844cc67ffffffff,12.0,0.0,0.0,0.0,0.0
844cc6dffffffff,11.0,0.0,0.0,0.0,0.0
844cd09ffffffff,41.0,0.0,0.0,0.0,0.0
844cd0dffffffff,78.0,0.0,1.0,0.0,0.0
844cd21ffffffff,1.0,0.0,0.0,0.0,0.0
844cd29ffffffff,3.0,0.0,0.0,0.0,0.0
844cd41ffffffff,5.0,0.0,0.0,0.0,0.0
844cd43ffffffff,143.0,0.0,0.0,0.0,0.0
844cd45ffffffff,4.0,0.0,0.0,0.0,0.0
844cd47ffffffff,2.0,0.0,0.0,0.0,0.0
844cd49ffffffff,3.0,0.0,0.0,0.0,0.0
844cd4bffffffff,8.0,0.0,0.0,0.0,0.0
844cd4dffffffff,48.0,0.0,1.0,0.0,0.0
844cd51ffffffff,1.0,0.0,0.0,0.0,0.0
844cd55ffffffff,12.0,0.0,0.0,0.0,0.0
844cd59ffffffff,9.0,0.0,2.0,0.0,0.0
844cd5bffffffff,45.0,0.0,1.0,0.0,0.0
844cd5dffffffff,5.0,0.0,0.0,0.0,0.0
844cd63ffffffff,10.0,0.0,0.0,0.0,0.0
844cd65ffffffff,4.0,0.0,0.0,0.0,0.0
844cd67ffffffff,50.0,0.0,0.0,0.0,0.0
844cd6dffffffff,6.0,0.0,0.0,0.0,0.0
844cf23ffffffff,24.0,0.0,0.0,0.0,0.0
844cf25ffffffff,6.0,0.0,0.0,0.0,0.0
844cf27ffffffff,11.0,0.0,0.0,0.0,0.0
844cf31ffffffff,2.0,0.0,0.0,0.0,0.0
844cf33ffffffff,5.0,0.0,0.0,0.0,0.0
844cf35ffffffff,42.0,0.0,0.0,0.0,0.0
844cf37ffffffff,119.0,0.0,1.0,0.0,0.0
844cf3dffffffff,2.0,0.0,0.0,0.0,0.0
8452825ffffffff,2.0,0.0,0.0,0.0,0.0
8452831ffffffff,15.0,0.0,0.0,0.0,0.0
845285dffffffff,2.0,0.0,0.0,0.0,0.0
8452867ffffffff,6.0,0.0,0.0,0.0,0.0
84528a5ffffffff,4.0,0.0,0.0,0.0,0.0
845291bffffffff,19.0,0.0,0.0,0.0,0.0
8452933ffffffff,3.0,0.0,3.0,0.0,0.0
8452983ffffffff,1.0,0.0,0.0,0.0,0.0
8452993ffffffff,2.0,0.0,0.0,0.0,0.0
84529a7ffffffff,2.0,0.0,0.0,0.0,0.0
84529b1ffffffff,5.0,0.0,0.0,0.0,0.0
84529b3ffffffff,2.0,0.0,0.0,0.0,0.0
84529b5ffffffff,12.0,0.0,2.0,0.0,0.0
84529b7ffffffff,4.0,0.0,0.0,0.0,0.0
84529b9ffffffff,81.0,0.0,6.0,0.0,0.0
84529bdffffffff,2.0,0.0,0.0,0.0,0.0
84529e3ffffffff,3.0,0.0,0.0,0.0,0.0
84529edffffffff,3.0,0.0,0.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0,0.0,0.0
8452d33ffffffff,4.0,0.0,0.0,0.0,0.0
845402dffffffff,10.0,0.0,3.0,0.0,0.0
84540abffffffff,8.0,0.0,0.0,0.0,0.0
8454103ffffffff,36.0,0.0,12.0,0.0,0.0
8454107ffffffff,2.0,0.0,0.0,0.0,0.0
845411dffffffff,27.0,0.0,7.0,0.0,0.0
8454137ffffffff,4.0,0.0,0.0,0.0,0.0
8454139ffffffff,29.0,0.0,6.0,0.0,0.0
8454153ffffffff,7.0,0.0,3.0,0.0,0.0
8454157ffffffff,8.0,0.0,2.0,0.0,0.0
8454183ffffffff,8.0,0.0,1.0,0.0,0.0
8454185ffffffff,4.0,0.0,4.0,0.0,0.0
