cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
834520fffffffff,3.0,0.0,0.0
834521fffffffff,2.0,0.0,0.0
834523fffffffff,5.0,5.0,0.0
834525fffffffff,12.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,2.0,2.0,0.0
834836fffffffff,2.0,0.0,0.0
834990fffffffff,1.0,0.0,0.0
834993fffffffff,1.0,0.0,0.0
834996fffffffff,14.0,2.0,0.0
834998fffffffff,12.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0
835f29fffffffff,4.0,4.0,0.0
835f40fffffffff,1.0,1.0,0.0
836602fffffffff,3.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0
836619fffffffff,8.0,0.0,0.0
836620fffffffff,1.0,1.0,0.0
836641fffffffff,8.0,8.0,0.0
83665afffffffff,5.0,0.0,0.0
8366b4fffffffff,7.0,0.0,0.0
8366b5fffffffff,7.0,1.0,0.0
8366d3fffffffff,5.0,0.0,0.0
8366d5fffffffff,20.0,0.0,0.0
8366defffffffff,1.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d15fffffffff,4.0,2.0,0.0
836d21fffffffff,3.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,4.0,0.0,0.0
836d30fffffffff,2.0,2.0,0.0
836d34fffffffff,3.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d69fffffffff,9.0,2.0,0.0
836d6dfffffffff,1.0,0.0,0.0
836d76fffffffff,2.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0
838b22fffffffff,2.0,2.0,0.0
838b56fffffffff,1.0,1.0,0.0
838b61fffffffff,1.0,1.0,0.0
838e61fffffffff,2.0,0.0,0.0
838f50fffffffff,4.0,0.0,4.0
838f73fffffffff,1.0,1.0,0.0
83a94cfffffffff,1.0,0.0,0.0
83a94dfffffffff,3.0,0.0,0.0
83a968fffffffff,4.0,0.0,0.0
83a969fffffffff,1.0,0.0,0.0
83a975fffffffff,7.0,0.0,0.0
83b34dfffffffff,3.0,0.0,0.0
