cell_id,Toxostoma lecontei,Toxostoma lecontei lecontei/macmillanorum,Toxostoma lecontei arenicola
832981fffffffff,15.0,0.0,0.0
832984fffffffff,78.0,0.0,0.0
832985fffffffff,73.0,0.0,0.0
832986fffffffff,4.0,0.0,0.0
83298cfffffffff,33.0,0.0,0.0
8329a0fffffffff,18.0,0.0,0.0
8329a1fffffffff,1406.0,0.0,0.0
8329a2fffffffff,139.0,0.0,0.0
8329a3fffffffff,227.0,0.0,0.0
8329a6fffffffff,217.0,0.0,0.0
8329aafffffffff,192.0,0.0,0.0
8329acfffffffff,484.0,0.0,0.0
8329aefffffffff,398.0,0.0,0.0
8329b0fffffffff,4.0,0.0,0.0
8329b1fffffffff,71.0,0.0,0.0
8329b3fffffffff,1.0,0.0,0.0
8329b4fffffffff,9.0,0.0,0.0
8329b5fffffffff,35.0,0.0,0.0
834855fffffffff,6.0,0.0,3.0
834858fffffffff,12.0,4.0,0.0
834859fffffffff,3.0,0.0,0.0
83485afffffffff,2.0,1.0,0.0
83485cfffffffff,13.0,0.0,0.0
83485efffffffff,23.0,11.0,0.0
834871fffffffff,18.0,0.0,10.0
834872fffffffff,1.0,0.0,0.0
834873fffffffff,82.0,0.0,32.0
8348e9fffffffff,690.0,0.0,0.0
