cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
832a06fffffffff,2.0,0.0,0.0,0.0,0.0
832a10fffffffff,1242.0,47.0,0.0,0.0,0.0
832a13fffffffff,4929.0,523.0,0.0,0.0,0.0
832a14fffffffff,49.0,2.0,0.0,0.0,0.0
832a15fffffffff,1340.0,21.0,0.0,0.0,0.0
832a1afffffffff,19.0,2.0,0.0,0.0,0.0
832a30fffffffff,76.0,0.0,0.0,0.0,0.0
832a31fffffffff,79.0,0.0,0.0,0.0,0.0
832a33fffffffff,575.0,58.0,0.0,0.0,0.0
832aa8fffffffff,272.0,56.0,0.0,0.0,0.0
832aa9fffffffff,2814.0,488.0,0.0,0.0,0.0
832aabfffffffff,1.0,0.0,0.0,0.0,0.0
832aadfffffffff,7773.0,517.0,0.0,0.0,0.0
832ac6fffffffff,23.0,0.0,0.0,0.0,0.0
832ad0fffffffff,91.0,0.0,0.0,0.0,0.0
832ad1fffffffff,229.0,0.0,0.0,0.0,0.0
832ad3fffffffff,542.0,18.0,0.0,0.0,0.0
832ad4fffffffff,2.0,0.0,0.0,0.0,0.0
832ad5fffffffff,289.0,0.0,0.0,0.0,0.0
832af0fffffffff,88.0,2.0,0.0,0.0,0.0
832af1fffffffff,849.0,0.0,0.0,0.0,0.0
832af3fffffffff,139.0,0.0,0.0,0.0,0.0
832af4fffffffff,7.0,2.0,0.0,0.0,0.0
832af6fffffffff,846.0,98.0,0.0,0.0,0.0
834412fffffffff,131.0,0.0,0.0,0.0,127.0
83441afffffffff,49.0,0.0,0.0,12.0,0.0
83441bfffffffff,172.0,0.0,0.0,9.0,0.0
834444fffffffff,29.0,0.0,0.0,0.0,0.0
834445fffffffff,41.0,0.0,0.0,0.0,0.0
834446fffffffff,43.0,0.0,0.0,0.0,0.0
834450fffffffff,685.0,0.0,0.0,65.0,0.0
834454fffffffff,3.0,0.0,0.0,0.0,0.0
834455fffffffff,1115.0,0.0,0.0,37.0,0.0
834456fffffffff,4.0,0.0,0.0,0.0,0.0
834463fffffffff,229.0,0.0,0.0,0.0,0.0
83446cfffffffff,3147.0,0.0,0.0,157.0,0.0
83446efffffffff,1388.0,0.0,0.0,24.0,0.0
834471fffffffff,460.0,0.0,0.0,0.0,0.0
834473fffffffff,1231.0,0.0,0.0,0.0,0.0
8344d0fffffffff,723.0,43.0,0.0,0.0,0.0
8344d2fffffffff,240.0,0.0,0.0,0.0,0.0
8344d5fffffffff,336.0,8.0,0.0,0.0,0.0
8344e4fffffffff,28.0,0.0,0.0,2.0,0.0
8344e6fffffffff,648.0,0.0,0.0,70.0,0.0
8344f0fffffffff,336.0,28.0,0.0,0.0,0.0
8344f3fffffffff,1058.0,140.0,0.0,0.0,0.0
8344f4fffffffff,1.0,0.0,0.0,1.0,0.0
8344f5fffffffff,33.0,0.0,0.0,0.0,0.0
8344f6fffffffff,86.0,0.0,0.0,0.0,0.0
834890fffffffff,653.0,0.0,0.0,33.0,0.0
834891fffffffff,3.0,0.0,0.0,0.0,0.0
834892fffffffff,376.0,0.0,0.0,8.0,0.0
834893fffffffff,486.0,0.0,0.0,1.0,0.0
834895fffffffff,18.0,0.0,0.0,0.0,0.0
