cell_id,Grallaria guatimalensis,Grallaria guatimalensis [guatimalensis Group],Grallaria guatimalensis princeps/chocoensis,Grallaria guatimalensis aripoensis,Grallaria guatimalensis roraimae,Grallaria guatimalensis regulus/carmelitae,Grallaria guatimalensis sororia
834522fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
834534fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
835f4afffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
835f4bfffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
835f71fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,334.0,0.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836623fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83662dfffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,359.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d0fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d1fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,795.0,0.0,0.0,0.0,0.0,23.0,0.0
