cell_id,Picus chlorolophus,Picus chlorolophus [chlorolophus Group],Picus chlorolophus chlorigaster/wellsi,Picus chlorolophus citrinocristatus/longipennis,Picus chlorolophus rodgeri/vanheysti
843c029ffffffff,53.0,0.0,0.0,0.0,0.0
843c02dffffffff,57.0,0.0,0.0,0.0,0.0
843c065ffffffff,13.0,0.0,0.0,0.0,0.0
843c067ffffffff,67.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,125.0,0.0,0.0,0.0,0.0
843c0adffffffff,51.0,0.0,0.0,0.0,0.0
843c0b5ffffffff,9.0,0.0,0.0,0.0,0.0
843c0b7ffffffff,11.0,0.0,0.0,0.0,0.0
843c0bdffffffff,4.0,0.0,0.0,0.0,0.0
843c159ffffffff,115.0,0.0,0.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0,0.0,0.0
843c199ffffffff,411.0,0.0,0.0,0.0,0.0
843c19bffffffff,39.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,56.0,0.0,0.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,49.0,0.0,0.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,11.0,0.0,0.0,0.0,0.0
843c1dbffffffff,7.0,0.0,0.0,0.0,0.0
843c1ddffffffff,1.0,0.0,0.0,0.0,0.0
843c333ffffffff,6.0,0.0,0.0,0.0,0.0
843c337ffffffff,4.0,0.0,0.0,0.0,0.0
843c33bffffffff,50.0,0.0,0.0,0.0,0.0
843c345ffffffff,2.0,0.0,0.0,0.0,0.0
843c437ffffffff,2.0,0.0,0.0,0.0,0.0
843c521ffffffff,5.0,0.0,0.0,0.0,0.0
843c525ffffffff,14.0,0.0,0.0,0.0,0.0
843c527ffffffff,155.0,0.0,0.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0,0.0,0.0
843c581ffffffff,105.0,0.0,0.0,0.0,0.0
843c585ffffffff,9.0,0.0,0.0,0.0,0.0
843c587ffffffff,15.0,0.0,0.0,0.0,0.0
843c5a1ffffffff,222.0,0.0,0.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0,0.0,0.0
843c5a9ffffffff,12.0,0.0,0.0,0.0,0.0
843c5abffffffff,5.0,0.0,0.0,0.0,0.0
843c5adffffffff,21.0,0.0,0.0,0.0,0.0
843c5b7ffffffff,4.0,0.0,0.0,0.0,0.0
843c5bdffffffff,61.0,0.0,0.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0,0.0,0.0
