cell_id,Argya striata,Argya striata [striata Group],Argya striata somervillei
833c02fffffffff,15.0,0.0,0.0
833c0afffffffff,11.0,0.0,0.0
833c13fffffffff,2.0,0.0,0.0
833c15fffffffff,20.0,16.0,0.0
833c19fffffffff,10.0,0.0,0.0
833c1bfffffffff,4.0,0.0,0.0
833c1cfffffffff,12.0,0.0,0.0
833c1dfffffffff,4.0,0.0,0.0
833c8dfffffffff,4.0,0.0,0.0
833c8efffffffff,4.0,0.0,0.0
833ca8fffffffff,4.0,0.0,0.0
833ca9fffffffff,12.0,3.0,0.0
833cabfffffffff,3.0,0.0,0.0
833ce1fffffffff,6.0,2.0,0.0
833ce2fffffffff,4.0,0.0,0.0
833ce4fffffffff,4.0,0.0,0.0
833ce5fffffffff,1.0,0.0,0.0
833cecfffffffff,1.0,0.0,0.0
833cf0fffffffff,11.0,0.0,0.0
833cf2fffffffff,32.0,0.0,0.0
833cf6fffffffff,9.0,0.0,0.0
833d10fffffffff,33.0,0.0,0.0
833d13fffffffff,20.0,0.0,0.0
833d1afffffffff,1.0,0.0,0.0
833d1efffffffff,5.0,0.0,0.0
833d85fffffffff,2.0,0.0,0.0
833d8dfffffffff,6.0,0.0,0.0
833d99fffffffff,2.0,2.0,0.0
833d9bfffffffff,18.0,18.0,0.0
833da1fffffffff,7.0,5.0,0.0
833da3fffffffff,4.0,0.0,0.0
833dadfffffffff,35.0,2.0,0.0
833db6fffffffff,3.0,0.0,0.0
8342c1fffffffff,65.0,1.0,0.0
8342ccfffffffff,6.0,0.0,0.0
8342d9fffffffff,18.0,0.0,18.0
8342dbfffffffff,5.0,0.0,2.0
8342e3fffffffff,2.0,0.0,0.0
8342eafffffffff,6.0,0.0,0.0
8342ebfffffffff,1.0,1.0,0.0
836004fffffffff,2.0,0.0,0.0
836006fffffffff,27.0,0.0,0.0
836010fffffffff,2.0,0.0,0.0
836011fffffffff,4.0,0.0,0.0
836013fffffffff,2.0,0.0,0.0
836014fffffffff,690.0,7.0,0.0
836015fffffffff,34.0,0.0,0.0
836016fffffffff,159.0,0.0,0.0
83601efffffffff,4.0,0.0,0.0
836022fffffffff,44.0,0.0,0.0
836026fffffffff,10.0,0.0,0.0
836030fffffffff,4.0,0.0,0.0
836031fffffffff,334.0,0.0,0.0
836032fffffffff,464.0,0.0,0.0
836033fffffffff,800.0,0.0,0.0
836034fffffffff,7.0,0.0,0.0
836035fffffffff,29.0,0.0,0.0
836036fffffffff,29.0,0.0,0.0
836084fffffffff,18.0,0.0,0.0
836088fffffffff,149.0,0.0,145.0
83608afffffffff,20.0,0.0,5.0
83608bfffffffff,22.0,0.0,22.0
83608cfffffffff,9.0,0.0,9.0
83608dfffffffff,16.0,0.0,16.0
836096fffffffff,7.0,6.0,0.0
8360a1fffffffff,103.0,0.0,0.0
8360a2fffffffff,486.0,0.0,0.0
8360a6fffffffff,5.0,0.0,0.0
8360a8fffffffff,3.0,0.0,0.0
8360a9fffffffff,1188.0,0.0,28.0
8360abfffffffff,2.0,0.0,2.0
8360adfffffffff,2.0,0.0,0.0
8360aefffffffff,2.0,0.0,0.0
8360b1fffffffff,230.0,0.0,0.0
8360b3fffffffff,13.0,0.0,0.0
8360b5fffffffff,72.0,0.0,0.0
836188fffffffff,7.0,0.0,0.0
836189fffffffff,34.0,0.0,0.0
83618bfffffffff,11.0,0.0,0.0
83618dfffffffff,29.0,0.0,0.0
83619afffffffff,4.0,0.0,0.0
