cell_id,Oceanites gracilis,Oceanites gracilis galapagoensis,Oceanites gracilis gracilis
846c53bffffffff,1.0,0.0,0.0
846c583ffffffff,2.0,0.0,0.0
846c585ffffffff,6.0,0.0,0.0
846c587ffffffff,142.0,0.0,0.0
846c58bffffffff,17.0,0.0,0.0
846c591ffffffff,4.0,0.0,0.0
846c593ffffffff,550.0,0.0,0.0
846c595ffffffff,851.0,0.0,0.0
846c597ffffffff,321.0,0.0,0.0
846c59dffffffff,3.0,0.0,0.0
846c5a1ffffffff,14.0,0.0,0.0
846c5a3ffffffff,31.0,0.0,0.0
846c5a9ffffffff,38.0,0.0,0.0
846c5abffffffff,680.0,0.0,0.0
846c5b1ffffffff,179.0,0.0,0.0
846c5b3ffffffff,181.0,0.0,0.0
846c5b5ffffffff,176.0,0.0,0.0
846c5b7ffffffff,45.0,0.0,0.0
846c5b9ffffffff,448.0,0.0,0.0
846c5bbffffffff,280.0,0.0,0.0
846c5bdffffffff,166.0,0.0,0.0
846c5d7ffffffff,204.0,0.0,0.0
848e251ffffffff,2.0,0.0,0.0
848e253ffffffff,1.0,0.0,0.0
848e259ffffffff,3.0,0.0,0.0
848e299ffffffff,2.0,0.0,0.0
848e2c1ffffffff,2.0,0.0,0.0
848e2c9ffffffff,1.0,0.0,0.0
848e2cbffffffff,4.0,0.0,0.0
848e2d3ffffffff,1.0,0.0,0.0
848e2ddffffffff,1.0,0.0,0.0
848e40bffffffff,2.0,0.0,0.0
848e413ffffffff,3.0,0.0,0.0
848e41bffffffff,2.0,0.0,0.0
848e425ffffffff,2.0,0.0,0.0
848e443ffffffff,10.0,0.0,0.0
848e445ffffffff,2.0,0.0,0.0
848e44bffffffff,3.0,0.0,0.0
848e45dffffffff,28.0,0.0,0.0
848e48dffffffff,1.0,0.0,0.0
848e4c9ffffffff,22.0,0.0,0.0
848e4cdffffffff,4.0,0.0,0.0
848e4d7ffffffff,1.0,0.0,0.0
848e4ddffffffff,2.0,0.0,0.0
848e4ebffffffff,3.0,0.0,0.0
848e621ffffffff,122.0,0.0,0.0
848e625ffffffff,79.0,0.0,0.0
848e627ffffffff,36.0,0.0,0.0
848e62dffffffff,23.0,0.0,0.0
848e719ffffffff,14.0,0.0,0.0
848e71bffffffff,8.0,0.0,0.0
848e749ffffffff,4.0,0.0,0.0
848e74bffffffff,10.0,0.0,0.0
848e753ffffffff,41.0,0.0,0.0
848e757ffffffff,19.0,0.0,0.0
848e75bffffffff,2.0,0.0,0.0
848f01bffffffff,3.0,0.0,0.0
848f08dffffffff,3.0,0.0,0.0
848f0b1ffffffff,2.0,0.0,0.0
848f0b7ffffffff,3.0,0.0,0.0
848f0bdffffffff,2.0,0.0,0.0
848f0c3ffffffff,1.0,0.0,0.0
848f2a5ffffffff,6.0,0.0,0.0
848f2a7ffffffff,5.0,0.0,0.0
848f2a9ffffffff,1.0,0.0,0.0
848f2e7ffffffff,6.0,0.0,0.0
848f505ffffffff,1.0,0.0,0.0
848f525ffffffff,5.0,0.0,0.0
848f52dffffffff,2.0,0.0,0.0
848f5a5ffffffff,1.0,0.0,0.0
848f5e5ffffffff,2.0,0.0,0.0
848fa45ffffffff,9.0,0.0,0.0
848fa4dffffffff,40.0,0.0,0.0
848fa61ffffffff,15.0,0.0,0.0
848fa65ffffffff,35.0,0.0,0.0
848fa69ffffffff,82.0,0.0,0.0
848fa6bffffffff,467.0,0.0,0.0
848fa6dffffffff,250.0,0.0,0.0
848fb4bffffffff,8.0,0.0,0.0
84b2049ffffffff,1.0,0.0,0.0
84b204dffffffff,3.0,0.0,0.0
84b2183ffffffff,1.0,0.0,0.0
84b2189ffffffff,7.0,0.0,0.0
84b21d5ffffffff,1.0,0.0,0.0
84b2225ffffffff,2.0,0.0,0.0
84b222dffffffff,1.0,0.0,0.0
84b2261ffffffff,7.0,0.0,0.0
84b2265ffffffff,8.0,0.0,0.0
84b2269ffffffff,27.0,0.0,0.0
84b226dffffffff,2.0,0.0,0.0
84b235bffffffff,1.0,0.0,0.0
84b3003ffffffff,5.0,0.0,0.0
84b3031ffffffff,24.0,0.0,0.0
84b3037ffffffff,2.0,0.0,0.0
84b3045ffffffff,2.0,0.0,0.0
84b3047ffffffff,431.0,0.0,0.0
84b306bffffffff,22.0,0.0,0.0
84b3197ffffffff,61.0,0.0,0.0
84b31d1ffffffff,2.0,0.0,0.0
84b31dbffffffff,2.0,0.0,0.0
84b31ddffffffff,3.0,0.0,0.0
84b3301ffffffff,1.0,0.0,0.0
84b3303ffffffff,2.0,0.0,0.0
84b3307ffffffff,15.0,0.0,0.0
84b3317ffffffff,3.0,0.0,0.0
84b3329ffffffff,2.0,0.0,0.0
84b332bffffffff,3.0,0.0,0.0
84b3367ffffffff,2.0,0.0,0.0
