cell_id,Ducula lacernulata,Ducula lacernulata lacernulata,Ducula lacernulata williami,Ducula lacernulata sasakensis
848c101ffffffff,6.0,1.0,0.0,0.0
848c103ffffffff,15.0,1.0,0.0,0.0
848c13bffffffff,3.0,0.0,0.0,0.0
848c143ffffffff,1.0,0.0,0.0,0.0
848d81bffffffff,1.0,0.0,0.0,0.0
848d855ffffffff,1.0,0.0,0.0,0.0
848d889ffffffff,1.0,0.0,0.0,0.0
848d8c1ffffffff,2.0,0.0,0.0,0.0
848da25ffffffff,129.0,0.0,0.0,0.0
848da35ffffffff,2.0,0.0,0.0,0.0
848da37ffffffff,1.0,0.0,0.0,0.0
848da67ffffffff,1.0,0.0,0.0,0.0
848db53ffffffff,2.0,0.0,0.0,0.0
848db59ffffffff,100.0,0.0,1.0,0.0
849426bffffffff,1.0,0.0,0.0,0.0
849426dffffffff,9.0,0.0,0.0,0.0
8495185ffffffff,71.0,0.0,0.0,15.0
8495187ffffffff,2.0,0.0,0.0,0.0
84951a9ffffffff,1.0,0.0,0.0,0.0
84951abffffffff,3.0,0.0,0.0,0.0
84951b9ffffffff,1.0,0.0,0.0,0.0
84951e3ffffffff,30.0,0.0,0.0,6.0
84951e7ffffffff,11.0,0.0,0.0,0.0
8495a49ffffffff,2.0,0.0,0.0,0.0
8495a4dffffffff,4.0,0.0,0.0,0.0
8495a59ffffffff,2.0,0.0,0.0,0.0
