cell_id,Coccyzus merlini,Coccyzus merlini bahamensis,Coccyzus merlini [merlini Group]
834430fffffffff,788.0,0.0,452.0
834432fffffffff,538.0,0.0,238.0
834434fffffffff,185.0,0.0,91.0
834436fffffffff,54.0,0.0,9.0
8344a2fffffffff,13.0,0.0,0.0
8344b0fffffffff,51.0,0.0,0.0
8344b2fffffffff,2.0,0.0,0.0
8344b5fffffffff,70.0,0.0,0.0
8344b6fffffffff,5.0,0.0,0.0
83451bfffffffff,44.0,0.0,7.0
834583fffffffff,85.0,0.0,68.0
834588fffffffff,1013.0,0.0,533.0
834589fffffffff,33.0,0.0,4.0
83458afffffffff,6.0,0.0,0.0
83458cfffffffff,1485.0,0.0,710.0
83458dfffffffff,322.0,0.0,186.0
83458efffffffff,465.0,0.0,240.0
834590fffffffff,41.0,0.0,6.0
834591fffffffff,346.0,0.0,187.0
834592fffffffff,40.0,0.0,2.0
834593fffffffff,1.0,0.0,0.0
834595fffffffff,2.0,0.0,2.0
834596fffffffff,5.0,0.0,0.0
834598fffffffff,626.0,0.0,306.0
83459bfffffffff,5.0,0.0,0.0
83459cfffffffff,64.0,0.0,22.0
83459dfffffffff,90.0,0.0,25.0
83459efffffffff,37.0,0.0,28.0
834c93fffffffff,65.0,0.0,13.0
834c98fffffffff,129.0,0.0,102.0
834c9afffffffff,66.0,0.0,17.0
834c9efffffffff,3.0,0.0,0.0
