cell_id,Malaconotus lagdeni,Malaconotus lagdeni lagdeni,Malaconotus lagdeni centralis
826ac7fffffffff,5.0,0.0,0.0
826adffffffffff,209.0,0.0,23.0
826aeffffffffff,1.0,0.0,0.0
82750ffffffffff,8.0,2.0,0.0
82752ffffffffff,2.0,0.0,0.0
8275affffffffff,4.0,0.0,0.0
8275b7fffffffff,4.0,0.0,0.0
