cell_id,Fringilla spodiogenys,Fringilla spodiogenys africana,Fringilla spodiogenys spodiogenys/harterti
8438161ffffffff,2.0,0.0,0.0
8438299ffffffff,1.0,0.0,0.0
8438301ffffffff,3.0,0.0,0.0
843830dffffffff,9.0,2.0,0.0
8438315ffffffff,1.0,0.0,0.0
843831bffffffff,2.0,2.0,0.0
8438321ffffffff,1.0,1.0,0.0
8438323ffffffff,1.0,1.0,0.0
8438325ffffffff,15.0,14.0,0.0
843832bffffffff,1.0,1.0,0.0
843834dffffffff,34.0,34.0,0.0
8438353ffffffff,4.0,4.0,0.0
8438361ffffffff,10.0,5.0,0.0
8438365ffffffff,75.0,68.0,0.0
8438367ffffffff,154.0,130.0,0.0
8438369ffffffff,2.0,2.0,0.0
843836bffffffff,1.0,0.0,0.0
843836dffffffff,8.0,6.0,0.0
843840bffffffff,1.0,0.0,1.0
8438451ffffffff,1.0,0.0,1.0
8438459ffffffff,2.0,0.0,2.0
843845dffffffff,2.0,0.0,2.0
84384edffffffff,1.0,0.0,1.0
84385d9ffffffff,2.0,0.0,2.0
8438621ffffffff,1.0,1.0,0.0
8438625ffffffff,30.0,11.0,0.0
8438627ffffffff,1.0,0.0,0.0
843862dffffffff,2.0,2.0,0.0
8438631ffffffff,1.0,0.0,0.0
8438633ffffffff,8.0,0.0,4.0
843863dffffffff,1.0,1.0,0.0
8438681ffffffff,6.0,0.0,4.0
8438685ffffffff,51.0,0.0,39.0
84386a1ffffffff,3.0,0.0,0.0
84386a3ffffffff,2.0,0.0,2.0
84386a7ffffffff,1.0,0.0,1.0
84386a9ffffffff,16.0,0.0,8.0
84386e1ffffffff,3.0,0.0,3.0
84386e3ffffffff,2.0,0.0,1.0
84386e9ffffffff,2.0,0.0,0.0
8438711ffffffff,3.0,3.0,0.0
8438715ffffffff,1.0,1.0,0.0
8438717ffffffff,1.0,1.0,0.0
8438743ffffffff,3.0,3.0,0.0
8438751ffffffff,8.0,5.0,0.0
8438753ffffffff,6.0,2.0,0.0
843875bffffffff,2.0,0.0,0.0
84391a1ffffffff,24.0,22.0,0.0
84391a5ffffffff,2.0,2.0,0.0
84391a7ffffffff,18.0,18.0,0.0
84391abffffffff,441.0,423.0,0.0
84391adffffffff,1.0,1.0,0.0
8439805ffffffff,11.0,10.0,0.0
843981bffffffff,1.0,1.0,0.0
8439821ffffffff,9.0,8.0,0.0
8439825ffffffff,7.0,3.0,0.0
8439827ffffffff,30.0,25.0,0.0
8439829ffffffff,2.0,2.0,0.0
8439831ffffffff,3.0,3.0,0.0
8439833ffffffff,437.0,402.0,0.0
8439837ffffffff,31.0,29.0,0.0
8439839ffffffff,6.0,3.0,0.0
843983bffffffff,81.0,70.0,0.0
843983dffffffff,1.0,1.0,0.0
8439851ffffffff,1.0,1.0,0.0
8439857ffffffff,3.0,3.0,0.0
8439881ffffffff,9.0,8.0,0.0
8439883ffffffff,11.0,10.0,0.0
8439885ffffffff,51.0,44.0,0.0
8439887ffffffff,4.0,3.0,0.0
843988bffffffff,1.0,0.0,0.0
843989bffffffff,2.0,2.0,0.0
84398abffffffff,2.0,2.0,0.0
84398bdffffffff,1.0,1.0,0.0
84398c3ffffffff,2.0,2.0,0.0
84398c7ffffffff,7.0,6.0,0.0
84398d3ffffffff,8.0,8.0,0.0
84398d5ffffffff,5.0,5.0,0.0
84398dbffffffff,28.0,25.0,0.0
84398ddffffffff,2.0,2.0,0.0
84398e1ffffffff,21.0,21.0,0.0
84398e5ffffffff,23.0,21.0,0.0
84398e7ffffffff,10.0,9.0,0.0
84398edffffffff,196.0,163.0,0.0
8439917ffffffff,2.0,2.0,0.0
843991bffffffff,100.0,91.0,0.0
843993bffffffff,3.0,3.0,0.0
84399c9ffffffff,11.0,11.0,0.0
84399cbffffffff,4.0,4.0,0.0
84399d9ffffffff,5.0,4.0,0.0
84399ddffffffff,1.0,0.0,0.0
8439a83ffffffff,38.0,34.0,0.0
8439a87ffffffff,40.0,36.0,0.0
8439a95ffffffff,9.0,8.0,0.0
8439a99ffffffff,57.0,53.0,0.0
8439a9bffffffff,1.0,0.0,0.0
8439a9dffffffff,6.0,6.0,0.0
8439aa3ffffffff,9.0,9.0,0.0
8439aa7ffffffff,3.0,1.0,0.0
8439ab1ffffffff,2.0,2.0,0.0
8439ab3ffffffff,20.0,20.0,0.0
8439ab5ffffffff,4.0,4.0,0.0
8439ab7ffffffff,4.0,4.0,0.0
8439ab9ffffffff,88.0,88.0,0.0
8439abbffffffff,7.0,4.0,0.0
8439abdffffffff,112.0,98.0,0.0
