cell_id,Leptasthenura aegithaloides,Leptasthenura aegithaloides grisescens,Leptasthenura aegithaloides berlepschi,Leptasthenura aegithaloides aegithaloides,Leptasthenura aegithaloides pallida
83b200fffffffff,70.0,0.0,0.0,0.0,0.0
83b201fffffffff,158.0,0.0,0.0,0.0,0.0
83b203fffffffff,92.0,0.0,0.0,0.0,0.0
83b204fffffffff,37.0,0.0,0.0,0.0,0.0
83b205fffffffff,15.0,0.0,0.0,0.0,0.0
83b208fffffffff,5.0,0.0,0.0,0.0,0.0
83b209fffffffff,2.0,0.0,0.0,0.0,0.0
83b20afffffffff,71.0,0.0,0.0,24.0,0.0
83b20bfffffffff,5.0,0.0,0.0,0.0,0.0
83b20dfffffffff,2.0,0.0,0.0,0.0,0.0
83b20efffffffff,9.0,0.0,0.0,0.0,0.0
83b219fffffffff,953.0,0.0,0.0,121.0,0.0
83b21bfffffffff,41.0,0.0,0.0,5.0,0.0
83b21dfffffffff,158.0,0.0,0.0,4.0,0.0
83b222fffffffff,89.0,5.0,0.0,0.0,0.0
83b224fffffffff,23.0,0.0,0.0,0.0,0.0
83b225fffffffff,6.0,0.0,4.0,0.0,0.0
83b226fffffffff,153.0,4.0,0.0,0.0,0.0
83b228fffffffff,9.0,0.0,0.0,0.0,0.0
83b229fffffffff,4.0,0.0,0.0,0.0,0.0
83b22afffffffff,2.0,0.0,0.0,0.0,0.0
83b242fffffffff,2.0,0.0,0.0,0.0,0.0
83b246fffffffff,12.0,0.0,0.0,0.0,0.0
83b250fffffffff,2.0,0.0,0.0,0.0,0.0
83b252fffffffff,4.0,0.0,0.0,0.0,0.0
83b256fffffffff,3.0,0.0,0.0,0.0,0.0
83b258fffffffff,1.0,0.0,0.0,0.0,0.0
83b25afffffffff,1.0,0.0,0.0,0.0,0.0
83b25efffffffff,3.0,0.0,0.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0,0.0,0.0
83b271fffffffff,2.0,0.0,0.0,0.0,0.0
83b272fffffffff,8.0,0.0,0.0,0.0,0.0
83b2c0fffffffff,1801.0,0.0,0.0,378.0,0.0
83b2c1fffffffff,381.0,0.0,0.0,67.0,0.0
83b2c2fffffffff,209.0,0.0,0.0,49.0,0.0
83b2c3fffffffff,381.0,0.0,0.0,46.0,0.0
83b2c4fffffffff,2973.0,0.0,0.0,458.0,0.0
83b2c5fffffffff,5113.0,0.0,0.0,1003.0,0.0
83b2c8fffffffff,28.0,0.0,0.0,0.0,0.0
83b2cafffffffff,49.0,0.0,0.0,0.0,0.0
83b2cbfffffffff,3.0,0.0,0.0,0.0,0.0
83b2ccfffffffff,1.0,0.0,0.0,0.0,0.0
83b2cdfffffffff,6.0,0.0,0.0,0.0,0.0
83b2cefffffffff,176.0,0.0,0.0,29.0,0.0
83b2d8fffffffff,109.0,0.0,0.0,4.0,0.0
83b2d9fffffffff,50.0,0.0,0.0,7.0,1.0
83b2dafffffffff,139.0,0.0,0.0,14.0,0.0
83b2dbfffffffff,27.0,0.0,0.0,1.0,0.0
83b2dcfffffffff,147.0,0.0,0.0,11.0,0.0
83b2ddfffffffff,192.0,0.0,0.0,39.0,0.0
83b2e0fffffffff,16.0,0.0,0.0,0.0,0.0
83b2e1fffffffff,24.0,0.0,0.0,0.0,0.0
83b2e2fffffffff,648.0,0.0,0.0,148.0,0.0
83b2e3fffffffff,145.0,0.0,0.0,53.0,0.0
83b2e4fffffffff,84.0,0.0,0.0,13.0,0.0
83b2e5fffffffff,2.0,0.0,0.0,0.0,0.0
83b2e6fffffffff,179.0,0.0,0.0,48.0,0.0
83b2e8fffffffff,16.0,0.0,0.0,0.0,0.0
83b2e9fffffffff,18.0,0.0,0.0,0.0,0.0
83b2eafffffffff,26.0,0.0,0.0,0.0,0.0
83b2ebfffffffff,11.0,0.0,0.0,0.0,0.0
83b2ecfffffffff,22.0,0.0,0.0,0.0,0.0
83b2edfffffffff,19.0,0.0,0.0,0.0,0.0
83b2eefffffffff,114.0,0.0,0.0,0.0,0.0
83b300fffffffff,156.0,62.0,1.0,0.0,0.0
83b301fffffffff,19.0,0.0,4.0,0.0,0.0
83b304fffffffff,45.0,14.0,1.0,0.0,0.0
83b305fffffffff,182.0,17.0,96.0,0.0,0.0
83b308fffffffff,10.0,0.0,6.0,0.0,0.0
83b309fffffffff,3.0,0.0,0.0,0.0,0.0
83b30afffffffff,5.0,2.0,0.0,0.0,0.0
83b30bfffffffff,167.0,7.0,54.0,0.0,0.0
83b30cfffffffff,2.0,0.0,0.0,0.0,0.0
83b30dfffffffff,4.0,0.0,0.0,0.0,0.0
83b30efffffffff,10.0,0.0,0.0,0.0,0.0
83b319fffffffff,11.0,4.0,0.0,0.0,0.0
83b31dfffffffff,43.0,6.0,0.0,0.0,0.0
83b320fffffffff,2.0,0.0,0.0,0.0,0.0
83b321fffffffff,40.0,0.0,0.0,0.0,0.0
83b323fffffffff,49.0,0.0,18.0,0.0,0.0
83b32afffffffff,5.0,0.0,2.0,0.0,0.0
83b32bfffffffff,1.0,0.0,0.0,0.0,0.0
83b32cfffffffff,8.0,0.0,0.0,0.0,0.0
83b32dfffffffff,9.0,0.0,0.0,0.0,0.0
83b330fffffffff,5.0,0.0,0.0,0.0,0.0
83b331fffffffff,14.0,0.0,0.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0,0.0,0.0
83b346fffffffff,6.0,0.0,0.0,0.0,0.0
83b350fffffffff,2.0,0.0,0.0,0.0,0.0
83b351fffffffff,99.0,0.0,0.0,0.0,0.0
83b352fffffffff,7.0,0.0,0.0,0.0,0.0
83b353fffffffff,38.0,0.0,0.0,0.0,0.0
83b354fffffffff,109.0,0.0,0.0,0.0,0.0
83b355fffffffff,179.0,0.0,0.0,0.0,0.0
83b356fffffffff,36.0,0.0,10.0,0.0,0.0
83b35afffffffff,56.0,0.0,0.0,0.0,0.0
83b35efffffffff,41.0,0.0,0.0,0.0,0.0
83b372fffffffff,6.0,0.0,0.0,0.0,0.0
83b373fffffffff,121.0,0.0,0.0,0.0,0.0
83c2e9fffffffff,1.0,0.0,0.0,0.0,0.0
83c301fffffffff,12.0,0.0,0.0,0.0,0.0
83c305fffffffff,12.0,0.0,0.0,0.0,0.0
83c308fffffffff,11.0,0.0,0.0,0.0,0.0
83c309fffffffff,6.0,0.0,0.0,0.0,0.0
83c30dfffffffff,4.0,0.0,0.0,0.0,0.0
83c320fffffffff,116.0,0.0,0.0,0.0,0.0
83c321fffffffff,31.0,0.0,0.0,0.0,0.0
83c324fffffffff,75.0,0.0,0.0,0.0,0.0
83c325fffffffff,109.0,0.0,0.0,0.0,0.0
83c328fffffffff,6.0,0.0,0.0,0.0,0.0
83c329fffffffff,137.0,0.0,0.0,0.0,2.0
83c32afffffffff,96.0,0.0,0.0,0.0,0.0
83c32bfffffffff,16.0,0.0,0.0,0.0,0.0
83c32efffffffff,105.0,0.0,0.0,0.0,0.0
83c340fffffffff,13.0,0.0,0.0,0.0,0.0
83c342fffffffff,2.0,0.0,0.0,0.0,0.0
83c345fffffffff,5.0,0.0,0.0,0.0,0.0
83c346fffffffff,2.0,0.0,0.0,0.0,0.0
83c350fffffffff,13.0,0.0,0.0,0.0,0.0
83c351fffffffff,3.0,0.0,0.0,0.0,0.0
83c354fffffffff,16.0,0.0,0.0,0.0,0.0
83c355fffffffff,7.0,0.0,0.0,0.0,0.0
83c356fffffffff,43.0,0.0,0.0,0.0,0.0
83c360fffffffff,45.0,0.0,0.0,0.0,0.0
83c364fffffffff,13.0,0.0,0.0,0.0,0.0
83c365fffffffff,6.0,0.0,0.0,0.0,0.0
83c366fffffffff,15.0,0.0,0.0,0.0,0.0
83c36afffffffff,10.0,0.0,0.0,0.0,0.0
83c36dfffffffff,7.0,0.0,0.0,0.0,0.0
83c36efffffffff,7.0,0.0,0.0,0.0,0.0
83c370fffffffff,20.0,0.0,0.0,0.0,0.0
83c371fffffffff,38.0,0.0,0.0,0.0,0.0
83c373fffffffff,9.0,0.0,0.0,0.0,0.0
83c374fffffffff,1.0,0.0,0.0,0.0,0.0
83c375fffffffff,9.0,0.0,0.0,0.0,0.0
83c376fffffffff,29.0,0.0,0.0,0.0,0.0
83ce80fffffffff,355.0,0.0,0.0,0.0,9.0
83ce81fffffffff,38.0,0.0,0.0,5.0,2.0
83ce82fffffffff,10.0,0.0,0.0,0.0,0.0
83ce83fffffffff,196.0,0.0,0.0,0.0,73.0
83ce84fffffffff,20.0,0.0,0.0,0.0,0.0
83ce85fffffffff,96.0,0.0,0.0,0.0,8.0
83ce86fffffffff,11.0,0.0,0.0,0.0,0.0
83ce88fffffffff,107.0,0.0,0.0,16.0,0.0
83ce8afffffffff,90.0,0.0,0.0,11.0,0.0
83ce8bfffffffff,32.0,0.0,0.0,2.0,0.0
83ce8cfffffffff,412.0,0.0,0.0,7.0,0.0
83ce8efffffffff,145.0,0.0,0.0,9.0,0.0
83ce91fffffffff,21.0,0.0,0.0,0.0,0.0
83ce92fffffffff,4.0,0.0,0.0,0.0,0.0
83ce93fffffffff,352.0,0.0,0.0,0.0,1.0
83ce95fffffffff,17.0,0.0,0.0,0.0,0.0
83ce96fffffffff,5.0,0.0,0.0,0.0,0.0
83ce98fffffffff,202.0,0.0,0.0,0.0,0.0
83ce99fffffffff,64.0,0.0,0.0,12.0,0.0
83ce9bfffffffff,45.0,0.0,0.0,0.0,1.0
83ce9cfffffffff,93.0,0.0,0.0,0.0,1.0
83ce9dfffffffff,188.0,0.0,0.0,8.0,5.0
83ce9efffffffff,70.0,0.0,0.0,0.0,0.0
83cea0fffffffff,27.0,0.0,0.0,0.0,0.0
83cea1fffffffff,47.0,0.0,0.0,4.0,0.0
83cea2fffffffff,43.0,0.0,0.0,0.0,0.0
83cea3fffffffff,46.0,0.0,0.0,0.0,2.0
83cea8fffffffff,242.0,0.0,0.0,27.0,0.0
83ceaafffffffff,585.0,0.0,0.0,19.0,0.0
83ceabfffffffff,6.0,0.0,0.0,0.0,0.0
83ceacfffffffff,103.0,0.0,0.0,28.0,0.0
83ceaefffffffff,148.0,0.0,0.0,17.0,0.0
83ceb0fffffffff,1.0,0.0,0.0,0.0,0.0
83ceb1fffffffff,2.0,0.0,0.0,0.0,0.0
83ceb5fffffffff,2.0,0.0,0.0,0.0,0.0
83cf10fffffffff,2.0,0.0,0.0,0.0,0.0
83cf12fffffffff,99.0,0.0,0.0,0.0,6.0
83cf81fffffffff,2.0,0.0,0.0,0.0,0.0
83cf82fffffffff,4.0,0.0,0.0,0.0,0.0
83cf85fffffffff,33.0,0.0,0.0,0.0,0.0
83cf88fffffffff,44.0,0.0,0.0,0.0,17.0
83cf89fffffffff,2.0,0.0,0.0,0.0,0.0
83cf8afffffffff,1.0,0.0,0.0,0.0,0.0
83cf8bfffffffff,8.0,0.0,0.0,0.0,1.0
83cf8cfffffffff,62.0,0.0,0.0,2.0,0.0
83cf8dfffffffff,3.0,0.0,0.0,0.0,0.0
83cf8efffffffff,60.0,0.0,0.0,0.0,0.0
83cf91fffffffff,20.0,0.0,0.0,0.0,0.0
83cf94fffffffff,70.0,0.0,0.0,0.0,0.0
83cf95fffffffff,6.0,0.0,0.0,0.0,0.0
83cf98fffffffff,2.0,0.0,0.0,0.0,0.0
83cf9efffffffff,52.0,0.0,0.0,0.0,0.0
83cfa0fffffffff,29.0,0.0,0.0,0.0,0.0
