cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
823c1ffffffffff,5.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c57fffffffff,7.0,0.0,0.0
823c5ffffffffff,7.0,0.0,0.0
823c8ffffffffff,17.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0
823cc7fffffffff,12.0,0.0,0.0
823ce7fffffffff,8.0,1.0,0.0
823ceffffffffff,9.0,0.0,0.0
823cf7fffffffff,19.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0
82411ffffffffff,7.0,0.0,0.0
824177fffffffff,1.0,0.0,0.0
8260b7fffffffff,11.0,0.0,0.0
826417fffffffff,33.0,3.0,0.0
826487fffffffff,1.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264a7fffffffff,10.0,6.0,0.0
826507fffffffff,125.0,0.0,0.0
82651ffffffffff,116.0,0.0,0.0
826527fffffffff,97.0,0.0,0.0
82658ffffffffff,3.0,3.0,0.0
82659ffffffffff,3.0,1.0,0.0
8265b7fffffffff,4.0,4.0,0.0
