cell_id,Prioniturus discurus,Prioniturus discurus whiteheadi,Prioniturus discurus discurus
8468447ffffffff,1.0,1.0,0.0
846846dffffffff,1.0,1.0,0.0
84694a9ffffffff,1.0,0.0,0.0
84696adffffffff,1.0,0.0,0.0
