cell_id,Granatellus venustus,Granatellus venustus venustus,Granatellus venustus francescae
834806fffffffff,5.0,0.0,0.0
834815fffffffff,20.0,0.0,0.0
834830fffffffff,7.0,0.0,5.0
834833fffffffff,78.0,0.0,0.0
834834fffffffff,2.0,0.0,0.0
834836fffffffff,317.0,0.0,0.0
834980fffffffff,26.0,0.0,0.0
834985fffffffff,1.0,0.0,0.0
834986fffffffff,7.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,39.0,0.0,0.0
8349a3fffffffff,17.0,0.0,0.0
8349a8fffffffff,86.0,0.0,0.0
8349a9fffffffff,145.0,8.0,0.0
8349aafffffffff,1.0,0.0,0.0
8349abfffffffff,3.0,0.0,0.0
8349acfffffffff,1.0,0.0,0.0
8349adfffffffff,33.0,1.0,0.0
8349b0fffffffff,1.0,0.0,0.0
8349b1fffffffff,6.0,0.0,0.0
8349b3fffffffff,10.0,0.0,0.0
8349b5fffffffff,6.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
836d04fffffffff,15.0,5.0,0.0
836d06fffffffff,38.0,0.0,0.0
836d14fffffffff,5.0,0.0,0.0
836d15fffffffff,455.0,60.0,0.0
836d23fffffffff,310.0,63.0,0.0
836d2efffffffff,30.0,0.0,0.0
836d31fffffffff,3.0,0.0,0.0
836d33fffffffff,34.0,6.0,0.0
