cell_id,Diglossa brunneiventris,Diglossa brunneiventris vuilleumieri,Diglossa brunneiventris brunneiventris
82661ffffffffff,686.0,0.0,0.0
8266e7fffffffff,23.0,0.0,0.0
828b67fffffffff,2773.0,0.0,30.0
828b6ffffffffff,657.0,0.0,7.0
828b77fffffffff,1.0,0.0,0.0
828e67fffffffff,421.0,0.0,0.0
828e6ffffffffff,495.0,0.0,0.0
828f47fffffffff,27.0,0.0,0.0
828f4ffffffffff,11.0,0.0,0.0
828f57fffffffff,652.0,0.0,0.0
828f5ffffffffff,463.0,0.0,0.0
828f77fffffffff,3.0,0.0,0.0
82b307fffffffff,573.0,0.0,0.0
82b327fffffffff,343.0,0.0,0.0
82b337fffffffff,152.0,0.0,0.0
