cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
825f4ffffffffff,79.0,0.0,0.0,0.0
825f5ffffffffff,1.0,0.0,1.0,0.0
826607fffffffff,2.0,0.0,0.0,0.0
82660ffffffffff,1178.0,0.0,0.0,10.0
82661ffffffffff,7803.0,0.0,0.0,424.0
826627fffffffff,2031.0,359.0,0.0,0.0
82662ffffffffff,37.0,0.0,0.0,0.0
8266c7fffffffff,1739.0,0.0,0.0,1.0
8266d7fffffffff,2044.0,0.0,0.0,129.0
8266dffffffffff,4792.0,0.0,0.0,343.0
8266e7fffffffff,9296.0,0.0,0.0,194.0
8266f7fffffffff,2911.0,0.0,0.0,35.0
826747fffffffff,189.0,0.0,2.0,0.0
82674ffffffffff,31.0,0.0,0.0,0.0
82675ffffffffff,74.0,0.0,0.0,0.0
828b27fffffffff,93.0,0.0,0.0,0.0
828b2ffffffffff,138.0,0.0,0.0,0.0
828b67fffffffff,1829.0,0.0,0.0,123.0
828b6ffffffffff,786.0,0.0,0.0,18.0
828b77fffffffff,53.0,0.0,0.0,0.0
828e67fffffffff,620.0,0.0,0.0,0.0
828e6ffffffffff,206.0,0.0,0.0,9.0
828f0ffffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,90.0,0.0,0.0,2.0
828f47fffffffff,279.0,0.0,0.0,7.0
828f4ffffffffff,93.0,0.0,0.0,0.0
828f57fffffffff,505.0,0.0,0.0,14.0
828f5ffffffffff,228.0,0.0,0.0,0.0
828f77fffffffff,2002.0,0.0,0.0,96.0
82b277fffffffff,14.0,0.0,0.0,0.0
82b327fffffffff,217.0,0.0,0.0,0.0
82b347fffffffff,287.0,0.0,0.0,0.0
82b357fffffffff,61.0,0.0,0.0,0.0
82b35ffffffffff,86.0,0.0,0.0,0.0
82b377fffffffff,9.0,0.0,0.0,0.0
