cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
8428023ffffffff,6.0,0.0,0.0,0.0,0.0
842830dffffffff,2.0,0.0,0.0,0.0,0.0
842982bffffffff,3.0,0.0,0.0,0.0,0.0
842990bffffffff,2.0,0.0,0.0,0.0,0.0
842994bffffffff,2.0,0.0,0.0,0.0,0.0
842994dffffffff,2.0,0.0,0.0,0.0,0.0
8429953ffffffff,37.0,0.0,0.0,0.0,0.0
8429a05ffffffff,38.0,0.0,0.0,0.0,0.0
8429a09ffffffff,129.0,0.0,0.0,0.0,0.0
8429a1dffffffff,11.0,0.0,0.0,0.0,0.0
8429a29ffffffff,3.0,0.0,0.0,0.0,0.0
8429a57ffffffff,65.0,0.0,0.0,0.0,0.0
8429a63ffffffff,10.0,0.0,0.0,0.0,0.0
8429a69ffffffff,102.0,0.0,0.0,0.0,0.0
8429a6bffffffff,63.0,0.0,0.0,0.0,0.0
8429ae1ffffffff,45.0,0.0,0.0,0.0,0.0
8429ae5ffffffff,4.0,0.0,0.0,0.0,0.0
8429aedffffffff,17.0,0.0,0.0,0.0,0.0
8429b01ffffffff,2.0,0.0,0.0,0.0,0.0
8429b09ffffffff,21.0,0.0,0.0,0.0,0.0
8429b0bffffffff,4.0,2.0,0.0,0.0,0.0
8429b11ffffffff,2.0,0.0,0.0,0.0,0.0
8429b13ffffffff,1.0,0.0,0.0,0.0,0.0
8429b1dffffffff,7.0,2.0,0.0,0.0,0.0
8429b2dffffffff,6.0,0.0,0.0,0.0,0.0
8429b55ffffffff,5.0,0.0,0.0,0.0,0.0
8429b5dffffffff,14.0,1.0,0.0,0.0,0.0
8429b61ffffffff,13.0,2.0,0.0,0.0,0.0
8429b65ffffffff,6.0,3.0,0.0,0.0,0.0
8429b6bffffffff,75.0,16.0,0.0,0.0,0.0
8429b6dffffffff,6.0,2.0,0.0,0.0,0.0
844412dffffffff,6.0,0.0,0.0,0.0,0.0
844413dffffffff,2.0,0.0,0.0,0.0,0.0
8444465ffffffff,129.0,0.0,0.0,0.0,0.0
8444633ffffffff,6.0,0.0,0.0,0.0,0.0
84446edffffffff,1.0,0.0,0.0,0.0,0.0
8444731ffffffff,36.0,0.0,0.0,0.0,0.0
8444733ffffffff,31.0,0.0,0.0,0.0,0.0
844473bffffffff,7.0,0.0,0.0,0.0,0.0
844484bffffffff,1.0,0.0,0.0,0.0,0.0
8444a13ffffffff,6.0,0.0,0.0,0.0,0.0
8444a19ffffffff,14.0,0.0,0.0,0.0,0.0
8444a53ffffffff,605.0,0.0,2.0,0.0,0.0
8444a81ffffffff,3.0,0.0,0.0,0.0,0.0
8444a87ffffffff,2.0,0.0,0.0,0.0,0.0
