cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
82149ffffffffff,2.0,0.0,0.0,0.0
822db7fffffffff,90.0,0.0,0.0,24.0
822e0ffffffffff,1.0,0.0,0.0,0.0
822e67fffffffff,6.0,0.0,0.0,0.0
822e6ffffffffff,38.0,0.0,0.0,0.0
822e77fffffffff,2.0,0.0,0.0,2.0
822ec7fffffffff,4.0,0.0,0.0,0.0
822ecffffffffff,7.0,0.0,0.0,0.0
822f5ffffffffff,30.0,0.0,0.0,0.0
823007fffffffff,1.0,0.0,0.0,0.0
82301ffffffffff,40.0,0.0,0.0,0.0
823027fffffffff,5.0,0.0,0.0,0.0
823037fffffffff,14.0,0.0,0.0,0.0
823087fffffffff,21.0,0.0,0.0,0.0
823097fffffffff,10.0,0.0,0.0,0.0
82309ffffffffff,117.0,0.0,0.0,0.0
8230affffffffff,2.0,0.0,0.0,0.0
8230c7fffffffff,103.0,0.0,0.0,0.0
8230d7fffffffff,4.0,0.0,0.0,0.0
8230e7fffffffff,200.0,0.0,0.0,0.0
8230effffffffff,4.0,0.0,0.0,0.0
823127fffffffff,4.0,0.0,0.0,0.0
82312ffffffffff,12.0,0.0,0.0,0.0
82316ffffffffff,21.0,0.0,0.0,0.0
823187fffffffff,11.0,0.0,0.0,0.0
82318ffffffffff,13.0,0.0,0.0,0.0
823197fffffffff,2.0,0.0,0.0,0.0
8231affffffffff,106.0,0.0,0.0,0.0
823c07fffffffff,1.0,0.0,0.0,0.0
823c17fffffffff,56.0,0.0,0.0,0.0
823c1ffffffffff,121.0,0.0,0.0,0.0
823c37fffffffff,23.0,0.0,0.0,0.0
823c57fffffffff,81.0,0.0,0.0,0.0
823c5ffffffffff,183.0,0.0,0.0,0.0
823c87fffffffff,13.0,0.0,0.0,0.0
823c8ffffffffff,152.0,0.0,0.0,0.0
823c97fffffffff,120.0,0.0,0.0,0.0
823c9ffffffffff,11.0,0.0,0.0,0.0
823ca7fffffffff,3.0,0.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0,0.0
823cb7fffffffff,88.0,0.0,0.0,0.0
823cc7fffffffff,64.0,0.0,0.0,0.0
823ccffffffffff,4.0,0.0,0.0,2.0
823cd7fffffffff,61.0,0.0,0.0,0.0
823cdffffffffff,5.0,0.0,0.0,0.0
823ce7fffffffff,252.0,0.0,0.0,0.0
823ceffffffffff,186.0,0.0,0.0,0.0
823cf7fffffffff,785.0,0.0,0.0,23.0
823d17fffffffff,283.0,0.0,0.0,0.0
823d1ffffffffff,4.0,0.0,0.0,0.0
823d37fffffffff,5.0,0.0,0.0,0.0
823d87fffffffff,945.0,0.0,0.0,0.0
823d8ffffffffff,137.0,0.0,0.0,0.0
823d97fffffffff,81.0,0.0,0.0,0.0
823d9ffffffffff,280.0,0.0,0.0,0.0
823da7fffffffff,52.0,0.0,0.0,0.0
823daffffffffff,190.0,0.0,0.0,0.0
823db7fffffffff,181.0,0.0,0.0,0.0
823e47fffffffff,51.0,0.0,0.0,0.0
823e4ffffffffff,6.0,0.0,0.0,0.0
823e5ffffffffff,108.0,0.0,0.0,5.0
823e67fffffffff,57.0,0.0,0.0,34.0
823e6ffffffffff,625.0,0.0,0.0,91.0
823e77fffffffff,14.0,0.0,0.0,3.0
823f5ffffffffff,1.0,0.0,0.0,0.0
824007fffffffff,2.0,0.0,0.0,0.0
824027fffffffff,4.0,0.0,0.0,0.0
82402ffffffffff,40.0,0.0,0.0,0.0
824037fffffffff,1.0,0.0,0.0,0.0
824047fffffffff,5.0,0.0,0.0,0.0
82404ffffffffff,75.0,0.0,0.0,0.0
824067fffffffff,4.0,0.0,0.0,0.0
82406ffffffffff,9.0,0.0,0.0,0.0
82408ffffffffff,4.0,0.0,0.0,0.0
8240a7fffffffff,7.0,0.0,0.0,1.0
8240c7fffffffff,2.0,0.0,0.0,0.0
8240effffffffff,2.0,0.0,0.0,0.0
824107fffffffff,3.0,0.0,0.0,0.0
82410ffffffffff,4.0,0.0,0.0,0.0
82411ffffffffff,300.0,0.0,0.0,3.0
824137fffffffff,9.0,0.0,0.0,0.0
824147fffffffff,28.0,0.0,0.0,0.0
82414ffffffffff,8.0,0.0,0.0,0.0
824157fffffffff,8.0,0.0,0.0,0.0
82415ffffffffff,45.0,0.0,0.0,9.0
824167fffffffff,10.0,0.0,0.0,1.0
82416ffffffffff,10.0,0.0,0.0,8.0
824177fffffffff,29.0,0.0,0.0,0.0
824187fffffffff,1.0,0.0,0.0,0.0
82418ffffffffff,4.0,0.0,0.0,0.0
824197fffffffff,21.0,0.0,0.0,0.0
82419ffffffffff,2.0,0.0,0.0,0.0
8241a7fffffffff,141.0,0.0,0.0,19.0
8241b7fffffffff,152.0,0.0,0.0,1.0
82424ffffffffff,5.0,0.0,0.0,0.0
82425ffffffffff,5.0,0.0,0.0,0.0
8242c7fffffffff,255.0,0.0,0.0,0.0
8242cffffffffff,188.0,0.0,0.0,0.0
8242dffffffffff,162.0,0.0,0.0,0.0
8242e7fffffffff,28.0,0.0,0.0,0.0
8242effffffffff,4.0,0.0,0.0,0.0
824317fffffffff,26.0,0.0,0.0,0.0
82431ffffffffff,35.0,0.0,0.0,0.0
82438ffffffffff,133.0,0.0,0.0,34.0
82439ffffffffff,38.0,0.0,0.0,18.0
8243a7fffffffff,244.0,0.0,0.0,14.0
8243affffffffff,652.0,0.0,0.0,80.0
824a27fffffffff,14.0,0.0,0.0,9.0
824b37fffffffff,2.0,0.0,0.0,0.0
824b67fffffffff,2.0,0.0,0.0,0.0
824b6ffffffffff,2.0,0.0,0.0,0.0
824b77fffffffff,4.0,0.0,0.0,0.0
824b87fffffffff,47.0,0.0,0.0,5.0
824b97fffffffff,1.0,0.0,0.0,0.0
824b9ffffffffff,13.0,0.0,0.0,0.0
824ba7fffffffff,1238.0,0.0,0.0,71.0
824baffffffffff,2.0,0.0,0.0,0.0
824bb7fffffffff,1922.0,0.0,0.0,130.0
825217fffffffff,15.0,0.0,0.0,0.0
82521ffffffffff,24.0,0.0,0.0,0.0
825237fffffffff,6.0,0.0,0.0,0.0
82524ffffffffff,32.0,0.0,0.0,10.0
825297fffffffff,4.0,0.0,0.0,0.0
82529ffffffffff,1.0,0.0,0.0,0.0
8252d7fffffffff,53.0,0.0,0.0,0.0
8252dffffffffff,1.0,0.0,0.0,1.0
8252f7fffffffff,8.0,0.0,0.0,0.0
825317fffffffff,8.0,0.0,0.0,0.0
82534ffffffffff,7.0,0.0,0.0,3.0
