cell_id,Anas georgica,Anas georgica georgica,Anas georgica spinicauda/niceforoi
831f83fffffffff,4.0,0.0,0.0
8366c2fffffffff,3.0,0.0,0.0
8366d0fffffffff,5.0,0.0,1.0
8366d1fffffffff,18.0,0.0,2.0
8366d2fffffffff,4.0,0.0,0.0
8366d3fffffffff,35.0,0.0,3.0
8366defffffffff,9.0,0.0,7.0
8366f1fffffffff,6.0,0.0,0.0
838b2cfffffffff,1.0,0.0,0.0
838b61fffffffff,1.0,0.0,1.0
838e60fffffffff,2.0,0.0,0.0
838e62fffffffff,11.0,0.0,0.0
838e66fffffffff,2.0,0.0,0.0
838e6efffffffff,2.0,0.0,0.0
838e75fffffffff,8.0,0.0,0.0
838f09fffffffff,6.0,0.0,0.0
838f0bfffffffff,8.0,0.0,3.0
838f0dfffffffff,2.0,0.0,0.0
838f2afffffffff,1.0,0.0,0.0
838f2bfffffffff,11.0,0.0,0.0
838f2cfffffffff,2.0,0.0,0.0
838f46fffffffff,2.0,0.0,0.0
838f50fffffffff,20.0,0.0,2.0
838f51fffffffff,1.0,0.0,1.0
838f59fffffffff,5.0,0.0,0.0
838f5bfffffffff,2.0,0.0,0.0
838f76fffffffff,3.0,0.0,1.0
83a810fffffffff,2.0,0.0,0.0
83a940fffffffff,3.0,0.0,0.0
83a949fffffffff,1.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83a964fffffffff,2.0,0.0,0.0
83a96afffffffff,7.0,0.0,0.0
83b243fffffffff,1.0,0.0,1.0
83b249fffffffff,14.0,0.0,0.0
83b24afffffffff,1.0,0.0,0.0
83b24bfffffffff,4.0,0.0,0.0
83b24cfffffffff,2.0,0.0,0.0
83b24dfffffffff,81.0,0.0,0.0
83b252fffffffff,1.0,0.0,0.0
83b258fffffffff,4.0,0.0,4.0
83b259fffffffff,8.0,0.0,8.0
83b25bfffffffff,14.0,0.0,14.0
83b25dfffffffff,5.0,0.0,5.0
83b261fffffffff,2.0,0.0,0.0
83b268fffffffff,1.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0
83b26bfffffffff,5.0,0.0,0.0
83b26dfffffffff,4.0,0.0,0.0
83b272fffffffff,3.0,0.0,0.0
83b274fffffffff,2.0,0.0,0.0
83b275fffffffff,1.0,1.0,0.0
83b2c0fffffffff,13.0,0.0,2.0
83b2c2fffffffff,2.0,0.0,0.0
83b2c3fffffffff,27.0,0.0,0.0
83b2c4fffffffff,8.0,0.0,0.0
83b2c5fffffffff,50.0,0.0,8.0
83b2ccfffffffff,3.0,0.0,0.0
83b2cdfffffffff,2.0,0.0,0.0
83b2d8fffffffff,7.0,0.0,0.0
83b2dcfffffffff,3.0,0.0,0.0
83b2ddfffffffff,9.0,0.0,0.0
83b2e2fffffffff,11.0,0.0,0.0
83b2e3fffffffff,9.0,0.0,0.0
83b2e6fffffffff,2.0,0.0,0.0
83b2ecfffffffff,19.0,0.0,3.0
83b2eefffffffff,1.0,0.0,0.0
83b304fffffffff,1.0,0.0,1.0
83b30bfffffffff,4.0,0.0,0.0
83b30efffffffff,1.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b34dfffffffff,2.0,0.0,0.0
83b351fffffffff,8.0,0.0,0.0
83b354fffffffff,42.0,0.0,0.0
83b35afffffffff,1.0,0.0,0.0
83b35efffffffff,1.0,0.0,1.0
83b36dfffffffff,3.0,0.0,0.0
83b373fffffffff,2.0,0.0,0.0
83c21bfffffffff,13.0,0.0,13.0
83c22cfffffffff,3.0,0.0,3.0
83c2c6fffffffff,2.0,0.0,0.0
83c2c9fffffffff,9.0,0.0,0.0
83c2cafffffffff,7.0,0.0,0.0
83c2cbfffffffff,1.0,0.0,0.0
83c2cdfffffffff,6.0,0.0,0.0
83c2e3fffffffff,18.0,0.0,0.0
83c2e6fffffffff,2.0,0.0,2.0
83c2e8fffffffff,6.0,0.0,0.0
83c2e9fffffffff,70.0,0.0,0.0
83c2ebfffffffff,5.0,0.0,0.0
83c2f1fffffffff,6.0,0.0,0.0
83c2f2fffffffff,3.0,0.0,0.0
83c2f3fffffffff,3.0,0.0,0.0
83c321fffffffff,9.0,0.0,9.0
83c348fffffffff,3.0,0.0,0.0
83c34bfffffffff,32.0,0.0,0.0
83c350fffffffff,3.0,0.0,3.0
83c354fffffffff,2.0,0.0,0.0
83ce80fffffffff,1.0,0.0,0.0
83ce81fffffffff,1.0,0.0,0.0
83ce88fffffffff,2.0,0.0,0.0
83ce8cfffffffff,13.0,0.0,0.0
83cea0fffffffff,3.0,0.0,0.0
83cea3fffffffff,2.0,0.0,2.0
83cea8fffffffff,2.0,0.0,0.0
83ceacfffffffff,2.0,0.0,2.0
83cf12fffffffff,4.0,0.0,0.0
83cf16fffffffff,2.0,0.0,0.0
83cf85fffffffff,2.0,0.0,0.0
83cf8cfffffffff,3.0,0.0,3.0
83cfa4fffffffff,6.0,0.0,6.0
83de66fffffffff,1.0,0.0,0.0
83de71fffffffff,2.0,0.0,0.0
83de82fffffffff,2.0,2.0,0.0
83de95fffffffff,16.0,16.0,0.0
83df68fffffffff,1.0,0.0,0.0
83df69fffffffff,10.0,0.0,3.0
83df6bfffffffff,2.0,0.0,2.0
