cell_id,Alcedo atthis,Alcedo atthis [atthis Group],Alcedo atthis [hispidoides Group]
820887fffffffff,45.0,0.0,0.0
82088ffffffffff,1.0,0.0,0.0
820897fffffffff,6.0,0.0,0.0
82089ffffffffff,15.0,0.0,0.0
8208b7fffffffff,9.0,0.0,0.0
82099ffffffffff,7.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0
82108ffffffffff,2.0,0.0,0.0
8210affffffffff,2.0,0.0,0.0
8210c7fffffffff,2.0,0.0,0.0
8210f7fffffffff,6.0,0.0,0.0
821107fffffffff,16.0,0.0,0.0
821137fffffffff,17.0,0.0,0.0
82118ffffffffff,25.0,0.0,0.0
82119ffffffffff,2.0,0.0,0.0
8211a7fffffffff,2.0,0.0,0.0
8211affffffffff,5.0,0.0,0.0
8211b7fffffffff,3.0,0.0,0.0
821487fffffffff,1.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0
82149ffffffffff,6.0,0.0,0.0
8214affffffffff,30.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
821597fffffffff,8.0,0.0,0.0
821807fffffffff,13.0,0.0,0.0
821827fffffffff,14.0,0.0,0.0
82182ffffffffff,254.0,0.0,0.0
821847fffffffff,159.0,20.0,0.0
82184ffffffffff,5331.0,12.0,0.0
82185ffffffffff,670.0,0.0,0.0
821867fffffffff,73.0,11.0,0.0
82186ffffffffff,297.0,16.0,0.0
821877fffffffff,167.0,39.0,0.0
82190ffffffffff,34.0,0.0,0.0
82192ffffffffff,2.0,0.0,0.0
821947fffffffff,1830.0,232.0,0.0
82194ffffffffff,1616.0,141.0,0.0
821957fffffffff,388.0,52.0,0.0
82195ffffffffff,1812.0,21.0,0.0
82196ffffffffff,598.0,0.0,0.0
821977fffffffff,195.0,0.0,0.0
821e07fffffffff,2175.0,11.0,0.0
821e0ffffffffff,603.0,0.0,0.0
821e17fffffffff,769.0,4.0,0.0
821e1ffffffffff,598.0,0.0,0.0
821e27fffffffff,436.0,0.0,0.0
821e2ffffffffff,223.0,0.0,0.0
821e37fffffffff,1643.0,13.0,0.0
821e47fffffffff,60.0,0.0,0.0
821e4ffffffffff,18.0,0.0,0.0
