cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
832c20fffffffff,3.0,0.0,0.0
832db0fffffffff,44.0,7.0,0.0
832db1fffffffff,31.0,4.0,0.0
832db2fffffffff,2.0,0.0,0.0
833e58fffffffff,26.0,2.0,0.0
833e5bfffffffff,1.0,0.0,0.0
833ee9fffffffff,2.0,0.0,0.0
837a68fffffffff,7.0,7.0,0.0
837a6afffffffff,7.0,6.0,0.0
837a6dfffffffff,7.0,7.0,0.0
83972efffffffff,1.0,1.0,0.0
83975cfffffffff,4.0,0.0,0.0
83ac96fffffffff,3.0,0.0,0.0
83aca2fffffffff,2.0,0.0,0.0
83acaafffffffff,4.0,4.0,0.0
83bc4afffffffff,2.0,2.0,0.0
83bcc2fffffffff,10.0,4.0,0.0
83bcc3fffffffff,8.0,8.0,0.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd2fffffffff,6.0,0.0,0.0
83bcd6fffffffff,1.0,0.0,0.0
83bcdcfffffffff,2.0,2.0,0.0
83bcddfffffffff,3.0,0.0,0.0
83bce2fffffffff,2.0,2.0,0.0
83bcebfffffffff,2.0,0.0,0.0
