cell_id,Mixornis gularis,Mixornis gularis [gularis Group],Mixornis gularis woodi
823c07fffffffff,4.0,0.0,0.0
823c0ffffffffff,1.0,0.0,0.0
823c17fffffffff,125.0,2.0,0.0
823c1ffffffffff,398.0,9.0,0.0
823c37fffffffff,34.0,0.0,0.0
823c57fffffffff,209.0,0.0,0.0
823c5ffffffffff,1106.0,0.0,0.0
823c87fffffffff,40.0,0.0,0.0
823c8ffffffffff,219.0,0.0,0.0
823c97fffffffff,627.0,0.0,0.0
823c9ffffffffff,4.0,0.0,0.0
823caffffffffff,23.0,0.0,0.0
823cc7fffffffff,865.0,0.0,0.0
823ccffffffffff,13.0,2.0,0.0
823cd7fffffffff,69.0,0.0,0.0
823cdffffffffff,28.0,5.0,0.0
823ce7fffffffff,1192.0,21.0,0.0
823ceffffffffff,785.0,0.0,0.0
823cf7fffffffff,183.0,7.0,0.0
823daffffffffff,4.0,0.0,0.0
82404ffffffffff,164.0,1.0,0.0
824067fffffffff,140.0,6.0,0.0
82406ffffffffff,4.0,0.0,0.0
824147fffffffff,223.0,34.0,0.0
82414ffffffffff,120.0,1.0,0.0
824157fffffffff,17.0,0.0,0.0
82415ffffffffff,130.0,2.0,0.0
824167fffffffff,79.0,10.0,0.0
82416ffffffffff,210.0,34.0,0.0
8260b7fffffffff,4.0,0.0,0.0
826417fffffffff,2032.0,714.0,0.0
826427fffffffff,20.0,4.0,0.0
826437fffffffff,865.0,453.0,0.0
826487fffffffff,542.0,201.0,0.0
82648ffffffffff,35.0,0.0,0.0
826497fffffffff,634.0,277.0,0.0
82649ffffffffff,37.0,9.0,0.0
8264a7fffffffff,660.0,157.0,0.0
8264affffffffff,2.0,0.0,0.0
8264b7fffffffff,459.0,127.0,0.0
826507fffffffff,1552.0,39.0,0.0
82650ffffffffff,7.0,0.0,0.0
82651ffffffffff,1092.0,365.0,0.0
826527fffffffff,2230.0,0.0,0.0
82652ffffffffff,7.0,0.0,0.0
826557fffffffff,41.0,0.0,0.0
826577fffffffff,6.0,0.0,0.0
826587fffffffff,760.0,0.0,0.0
82658ffffffffff,395.0,131.0,0.0
826597fffffffff,427.0,3.0,0.0
82659ffffffffff,1357.0,400.0,0.0
8265b7fffffffff,606.0,25.0,0.0
82682ffffffffff,525.0,0.0,103.0
826917fffffffff,1.0,0.0,0.0
826937fffffffff,2.0,0.0,0.0
828c1ffffffffff,13.0,0.0,0.0
828c8ffffffffff,1.0,0.0,0.0
828caffffffffff,59.0,0.0,0.0
828cd7fffffffff,7.0,0.0,0.0
