cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
8444249ffffffff,10.0,0.0,0.0
8445019ffffffff,29.0,0.0,0.0
844505bffffffff,3.0,0.0,0.0
8445081ffffffff,4.0,0.0,0.0
8445083ffffffff,106.0,0.0,19.0
8445085ffffffff,56.0,0.0,0.0
8445087ffffffff,530.0,0.0,51.0
8445089ffffffff,2.0,0.0,0.0
844508bffffffff,15.0,0.0,2.0
844508dffffffff,69.0,0.0,0.0
8445091ffffffff,41.0,0.0,3.0
8445095ffffffff,8.0,0.0,5.0
8445097ffffffff,2.0,0.0,0.0
8445099ffffffff,67.0,0.0,0.0
844509bffffffff,16.0,0.0,0.0
844509dffffffff,1.0,0.0,0.0
84450a1ffffffff,299.0,0.0,0.0
84450a3ffffffff,181.0,0.0,15.0
84450a5ffffffff,10.0,0.0,0.0
84450a7ffffffff,16.0,0.0,0.0
84450a9ffffffff,9.0,0.0,0.0
84450abffffffff,58.0,0.0,5.0
84450adffffffff,1.0,0.0,0.0
84450b1ffffffff,20.0,0.0,6.0
84450b5ffffffff,81.0,0.0,0.0
84450b9ffffffff,23.0,0.0,0.0
84450bbffffffff,2.0,0.0,0.0
84450bdffffffff,40.0,0.0,0.0
84450c1ffffffff,51.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0
84450c5ffffffff,84.0,0.0,6.0
84450c7ffffffff,11.0,0.0,0.0
84450c9ffffffff,2.0,0.0,0.0
84450cbffffffff,2.0,0.0,0.0
84450cdffffffff,35.0,0.0,0.0
84450d1ffffffff,23.0,0.0,8.0
84450d3ffffffff,133.0,0.0,49.0
84450d5ffffffff,77.0,0.0,37.0
84450d7ffffffff,11.0,0.0,0.0
84450dbffffffff,2.0,0.0,0.0
84450ddffffffff,6.0,0.0,0.0
84450e3ffffffff,27.0,0.0,0.0
84450ebffffffff,219.0,0.0,16.0
8445213ffffffff,2.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0
8445249ffffffff,73.0,0.0,0.0
844524bffffffff,35.0,0.0,0.0
844524dffffffff,1.0,0.0,0.0
8445261ffffffff,22.0,0.0,0.0
844526dffffffff,2.0,0.0,0.0
8445281ffffffff,30.0,0.0,0.0
8445283ffffffff,28.0,0.0,4.0
8445285ffffffff,40.0,0.0,7.0
8445287ffffffff,128.0,0.0,0.0
8445289ffffffff,567.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,85.0,0.0,2.0
8445291ffffffff,1.0,0.0,0.0
8445295ffffffff,1.0,0.0,0.0
8445297ffffffff,8.0,0.0,0.0
84452a1ffffffff,33.0,0.0,2.0
84452a3ffffffff,9.0,0.0,2.0
84452a5ffffffff,113.0,0.0,0.0
84452a7ffffffff,14.0,0.0,0.0
84452a9ffffffff,122.0,0.0,3.0
84452abffffffff,21.0,0.0,2.0
84452adffffffff,291.0,0.0,0.0
84452b1ffffffff,1.0,0.0,0.0
84452b3ffffffff,4.0,0.0,0.0
84452b5ffffffff,18.0,0.0,2.0
84452b9ffffffff,116.0,0.0,0.0
84452bdffffffff,164.0,0.0,6.0
84452c1ffffffff,22.0,0.0,0.0
84452c3ffffffff,370.0,0.0,0.0
84452c5ffffffff,46.0,0.0,0.0
84452c7ffffffff,376.0,0.0,1.0
84452d5ffffffff,4.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0
84452e1ffffffff,1427.0,0.0,20.0
84452e3ffffffff,74.0,0.0,0.0
84452e5ffffffff,18.0,0.0,0.0
84452e7ffffffff,55.0,0.0,0.0
84452e9ffffffff,2.0,0.0,0.0
84452ebffffffff,280.0,0.0,5.0
8445353ffffffff,9.0,0.0,0.0
8445721ffffffff,25.0,0.0,7.0
8445725ffffffff,28.0,0.0,0.0
8445761ffffffff,8.0,0.0,0.0
8445765ffffffff,14.0,0.0,0.0
8445767ffffffff,10.0,0.0,0.0
8448065ffffffff,3.0,0.0,0.0
844815bffffffff,13.0,0.0,0.0
8448337ffffffff,2.0,0.0,0.0
844833bffffffff,2.0,0.0,0.0
8448361ffffffff,75.0,0.0,0.0
8448365ffffffff,2.0,0.0,0.0
8448367ffffffff,12.0,0.0,0.0
8448369ffffffff,4.0,0.0,0.0
8448a21ffffffff,208.0,0.0,0.0
8448a2dffffffff,10.0,0.0,0.0
8448b49ffffffff,3.0,0.0,0.0
