cell_id,Hemiphaga novaeseelandiae,Hemiphaga novaeseelandiae spadicea,Hemiphaga novaeseelandiae novaeseelandiae
84ba241ffffffff,8.0,0.0,0.0
84ba249ffffffff,3.0,0.0,0.0
84ba24dffffffff,8.0,0.0,0.0
84bb081ffffffff,89.0,0.0,0.0
84bb083ffffffff,13.0,0.0,0.0
84bb085ffffffff,1.0,0.0,0.0
84bb087ffffffff,2.0,0.0,0.0
84bb089ffffffff,26.0,0.0,0.0
84bb08bffffffff,15.0,0.0,0.0
84bb091ffffffff,134.0,0.0,0.0
84bb093ffffffff,119.0,0.0,0.0
84bb095ffffffff,2.0,0.0,0.0
84bb097ffffffff,20.0,0.0,0.0
84bb099ffffffff,230.0,0.0,0.0
84bb09bffffffff,18.0,0.0,0.0
84bb09dffffffff,3.0,0.0,0.0
84bb0a1ffffffff,4.0,0.0,0.0
84bb0a7ffffffff,8.0,0.0,0.0
84bb0a9ffffffff,9.0,0.0,0.0
84bb0abffffffff,2.0,0.0,0.0
84bb0b1ffffffff,40.0,0.0,0.0
84bb0b3ffffffff,8.0,0.0,0.0
84bb0b5ffffffff,2.0,0.0,0.0
84bb0b9ffffffff,26.0,0.0,0.0
84bb0bbffffffff,66.0,0.0,0.0
84bb0bdffffffff,11.0,0.0,0.0
84bb0c1ffffffff,4.0,0.0,0.0
84bb0c3ffffffff,11.0,0.0,0.0
84bb0c7ffffffff,2.0,0.0,0.0
84bb0cbffffffff,19.0,0.0,0.0
84bb0d1ffffffff,143.0,0.0,0.0
84bb0d3ffffffff,61.0,0.0,0.0
84bb0d5ffffffff,83.0,0.0,0.0
84bb0d7ffffffff,18.0,0.0,0.0
84bb0d9ffffffff,164.0,0.0,0.0
84bb0dbffffffff,105.0,0.0,0.0
84bb0ddffffffff,251.0,0.0,0.0
84bb283ffffffff,33.0,0.0,0.0
84bb287ffffffff,6.0,0.0,0.0
84bb291ffffffff,228.0,0.0,0.0
84bb293ffffffff,325.0,0.0,0.0
84bb295ffffffff,1409.0,0.0,0.0
84bb297ffffffff,37.0,0.0,0.0
84bb299ffffffff,4.0,0.0,0.0
84bb29bffffffff,178.0,0.0,0.0
84bb2b1ffffffff,166.0,0.0,0.0
84bb2b3ffffffff,100.0,0.0,0.0
84bb2b5ffffffff,25.0,0.0,0.0
84bb2b7ffffffff,362.0,0.0,0.0
84bb2b9ffffffff,88.0,0.0,0.0
84bb2bbffffffff,1293.0,0.0,0.0
84bb2bdffffffff,57.0,0.0,0.0
84bb2d3ffffffff,40.0,0.0,0.0
84bb2dbffffffff,43.0,0.0,0.0
84bb501ffffffff,393.0,0.0,0.0
