cell_id,Cisticola erythrops,Cisticola erythrops [erythrops Group],Cisticola erythrops lepe
825297fffffffff,3.0,0.0,0.0
82529ffffffffff,3.0,0.0,0.0
82541ffffffffff,6.0,0.0,0.0
8254affffffffff,7.0,0.0,0.0
8254e7fffffffff,3.0,0.0,0.0
8254effffffffff,9.0,0.0,0.0
8254f7fffffffff,4.0,0.0,0.0
825887fffffffff,8.0,0.0,0.0
82588ffffffffff,1.0,0.0,0.0
825897fffffffff,26.0,2.0,0.0
8258b7fffffffff,5.0,0.0,0.0
8258c7fffffffff,1.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0
8258e7fffffffff,19.0,0.0,0.0
826a47fffffffff,9.0,1.0,0.0
826a5ffffffffff,9.0,0.0,0.0
826a67fffffffff,3.0,0.0,0.0
826a6ffffffffff,10.0,0.0,0.0
826ac7fffffffff,631.0,84.0,0.0
826acffffffffff,210.0,16.0,0.0
826adffffffffff,147.0,3.0,0.0
826ae7fffffffff,2.0,0.0,0.0
826aeffffffffff,324.0,16.0,0.0
826af7fffffffff,2.0,0.0,0.0
826b9ffffffffff,1.0,0.0,0.0
82750ffffffffff,265.0,66.0,0.0
82751ffffffffff,4.0,0.0,0.0
827527fffffffff,44.0,10.0,0.0
82752ffffffffff,189.0,48.0,0.0
827577fffffffff,23.0,5.0,0.0
8275a7fffffffff,5.0,0.0,0.0
827a47fffffffff,88.0,0.0,0.0
827a4ffffffffff,210.0,0.0,0.0
827a67fffffffff,26.0,0.0,0.0
827a6ffffffffff,398.0,1.0,0.0
827acffffffffff,62.0,10.0,0.0
827aeffffffffff,5.0,0.0,0.0
827b4ffffffffff,27.0,0.0,0.0
827b6ffffffffff,2.0,0.0,0.0
82828ffffffffff,52.0,0.0,0.0
8282d7fffffffff,2.0,0.0,0.0
8282dffffffffff,2.0,0.0,0.0
828317fffffffff,5.0,0.0,2.0
828327fffffffff,2.0,0.0,0.0
828337fffffffff,17.0,0.0,5.0
82839ffffffffff,2.0,0.0,0.0
8283a7fffffffff,3.0,0.0,0.0
8283affffffffff,6.0,0.0,4.0
829607fffffffff,75.0,13.0,0.0
82960ffffffffff,63.0,5.0,0.0
829617fffffffff,4.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0
829627fffffffff,113.0,17.0,0.0
82962ffffffffff,40.0,9.0,0.0
829637fffffffff,26.0,5.0,0.0
829647fffffffff,2.0,0.0,0.0
829657fffffffff,1.0,0.0,0.0
829667fffffffff,3.0,0.0,0.0
829677fffffffff,1.0,0.0,0.0
829697fffffffff,308.0,0.0,0.0
8296a7fffffffff,9.0,0.0,0.0
8296affffffffff,7.0,0.0,0.0
8296b7fffffffff,26.0,3.0,0.0
8296e7fffffffff,2.0,0.0,0.0
829707fffffffff,75.0,0.0,0.0
82970ffffffffff,3.0,0.0,0.0
829717fffffffff,105.0,0.0,0.0
82971ffffffffff,150.0,1.0,0.0
82972ffffffffff,252.0,80.0,0.0
829737fffffffff,2.0,0.0,0.0
82974ffffffffff,1.0,0.0,0.0
829757fffffffff,181.0,23.0,0.0
82975ffffffffff,30.0,0.0,0.0
82978ffffffffff,24.0,0.0,0.0
82979ffffffffff,2.0,0.0,0.0
8297a7fffffffff,2.0,0.0,0.0
8297affffffffff,15.0,0.0,0.0
82bc1ffffffffff,1.0,0.0,0.0
82bc8ffffffffff,27.0,0.0,0.0
82bc9ffffffffff,2.0,0.0,0.0
82bcd7fffffffff,668.0,171.0,0.0
82bcdffffffffff,6.0,1.0,0.0
82bce7fffffffff,6.0,4.0,0.0
82bcf7fffffffff,272.0,82.0,0.0
