cell_id,Antigone canadensis,Antigone canadensis canadensis,Antigone canadensis tabida/rowani,Antigone canadensis pulla,Antigone canadensis pratensis,Antigone canadensis nesiotes
8202cffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8204cffffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8204effffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,104.0,92.0,0.0,0.0,0.0,0.0
820c37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,35.0,11.0,0.0,0.0,0.0,0.0
820c5ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,37.0,15.0,0.0,0.0,0.0,0.0
820c8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,76.0,57.0,0.0,0.0,0.0,0.0
820ccffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820d0ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,28.0,2.0,0.0,0.0,0.0,0.0
820d67fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820d8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
820ec7fffffffff,113.0,0.0,1.0,0.0,0.0,0.0
820ecffffffffff,56.0,0.0,4.0,0.0,0.0,0.0
820ee7fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
820eeffffffffff,200.0,0.0,3.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
82121ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,8.0,2.0,3.0,0.0,0.0,0.0
82125ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
821287fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,11.0,0.0,4.0,0.0,0.0,0.0
8212dffffffffff,50.0,2.0,0.0,0.0,0.0,0.0
8212e7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,42.0,0.0,0.0,0.0,0.0,0.0
82134ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8213a7fffffffff,92.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82165ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
821747fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82176ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
