cell_id,Leptotila verreauxi,Leptotila verreauxi [verreauxi Group],Leptotila verreauxi decolor,Leptotila verreauxi [brasiliensis Group]
844415dffffffff,1.0,0.0,0.0,0.0
8445059ffffffff,1.0,0.0,0.0,0.0
8445083ffffffff,1.0,0.0,0.0,0.0
844509bffffffff,4.0,3.0,0.0,0.0
84450b1ffffffff,2.0,0.0,0.0,0.0
84450d3ffffffff,2.0,0.0,0.0,0.0
8445201ffffffff,3.0,0.0,0.0,0.0
844520dffffffff,9.0,2.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0,0.0
8445249ffffffff,2.0,0.0,0.0,0.0
844525bffffffff,12.0,12.0,0.0,0.0
8445281ffffffff,6.0,0.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0,0.0
84480a9ffffffff,1.0,0.0,0.0,0.0
844880dffffffff,1.0,0.0,0.0,0.0
8448815ffffffff,2.0,0.0,0.0,0.0
8448831ffffffff,14.0,0.0,0.0,0.0
8448833ffffffff,106.0,0.0,0.0,0.0
8448837ffffffff,3.0,0.0,0.0,0.0
8448881ffffffff,1.0,0.0,0.0,0.0
84488e1ffffffff,41.0,0.0,0.0,0.0
84488e3ffffffff,7.0,0.0,0.0,0.0
84488e5ffffffff,4.0,0.0,0.0,0.0
84488e9ffffffff,62.0,0.0,0.0,0.0
84488ebffffffff,2.0,0.0,0.0,0.0
84488edffffffff,2.0,0.0,0.0,0.0
8448903ffffffff,4.0,0.0,0.0,0.0
8448911ffffffff,3.0,0.0,0.0,0.0
8448915ffffffff,20.0,0.0,0.0,0.0
844891dffffffff,20.0,0.0,0.0,0.0
8448923ffffffff,8.0,0.0,0.0,0.0
8448957ffffffff,1.0,0.0,0.0,0.0
84489c1ffffffff,31.0,0.0,0.0,0.0
84489cbffffffff,20.0,0.0,0.0,0.0
84489d9ffffffff,281.0,3.0,0.0,0.0
84489ddffffffff,15.0,2.0,0.0,0.0
84489e3ffffffff,1.0,0.0,0.0,0.0
84489ebffffffff,5.0,0.0,0.0,0.0
8448a29ffffffff,1.0,0.0,0.0,0.0
8448a39ffffffff,3.0,0.0,0.0,0.0
8448a67ffffffff,2.0,0.0,0.0,0.0
8448ab7ffffffff,3.0,0.0,0.0,0.0
8448b13ffffffff,4.0,4.0,0.0,0.0
8448b15ffffffff,4.0,1.0,0.0,0.0
8448b2bffffffff,1.0,0.0,0.0,0.0
8448b39ffffffff,15.0,5.0,0.0,0.0
8448b3dffffffff,2.0,2.0,0.0,0.0
8448ee9ffffffff,65.0,1.0,0.0,0.0
8448eebffffffff,9.0,0.0,0.0,0.0
8449827ffffffff,3.0,0.0,0.0,0.0
8449839ffffffff,2.0,0.0,0.0,0.0
844983dffffffff,2.0,0.0,0.0,0.0
8449861ffffffff,1.0,0.0,0.0,0.0
8449865ffffffff,2.0,2.0,0.0,0.0
8449901ffffffff,2.0,2.0,0.0,0.0
8449931ffffffff,1.0,0.0,0.0,0.0
8449941ffffffff,1.0,0.0,0.0,0.0
8449961ffffffff,2.0,0.0,0.0,0.0
8449963ffffffff,5.0,0.0,0.0,0.0
8449987ffffffff,1.0,0.0,0.0,0.0
84499b1ffffffff,2.0,0.0,0.0,0.0
8449a91ffffffff,2.0,2.0,0.0,0.0
8449a93ffffffff,2.0,2.0,0.0,0.0
8449aa3ffffffff,2.0,0.0,0.0,0.0
8449b33ffffffff,2.0,0.0,0.0,0.0
8449b37ffffffff,2.0,0.0,0.0,0.0
8449b55ffffffff,1.0,0.0,0.0,0.0
845f4b3ffffffff,2.0,0.0,0.0,0.0
845f583ffffffff,4.0,4.0,0.0,0.0
845f5b5ffffffff,14.0,0.0,0.0,0.0
845f5b9ffffffff,4.0,4.0,0.0,0.0
8466081ffffffff,1.0,0.0,0.0,0.0
846610bffffffff,3.0,0.0,0.0,0.0
8466193ffffffff,3.0,3.0,0.0,0.0
846619dffffffff,11.0,0.0,0.0,0.0
84661b9ffffffff,1.0,0.0,0.0,0.0
846629dffffffff,3.0,3.0,0.0,0.0
