cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
845f03dffffffff,1.0,1.0,0.0
845f583ffffffff,4.0,0.0,0.0
845f5b5ffffffff,7.0,0.0,0.0
8466103ffffffff,1.0,0.0,0.0
8466105ffffffff,8.0,0.0,0.0
846610bffffffff,3.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
8466135ffffffff,1.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0
8466163ffffffff,13.0,0.0,0.0
8466167ffffffff,4.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
8466a01ffffffff,2.0,0.0,0.0
8466a0bffffffff,34.0,0.0,0.0
8466a55ffffffff,2.0,0.0,0.0
8466a57ffffffff,9.0,0.0,0.0
8466a5bffffffff,15.0,0.0,0.0
8466a65ffffffff,20.0,0.0,0.0
8466b59ffffffff,1.0,0.0,0.0
8466b5bffffffff,3.0,0.0,0.0
8466d35ffffffff,2.0,0.0,2.0
8466d57ffffffff,5.0,0.0,0.0
8466de1ffffffff,48.0,0.0,0.0
8466e41ffffffff,12.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8467413ffffffff,4.0,0.0,0.0
84674c5ffffffff,91.0,0.0,0.0
84679b7ffffffff,4.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,0.0
848b205ffffffff,1.0,0.0,0.0
848b617ffffffff,1.0,1.0,0.0
848f2bbffffffff,2.0,0.0,2.0
848f705ffffffff,8.0,0.0,0.0
848f729ffffffff,7.0,0.0,0.0
848f763ffffffff,6.0,0.0,0.0
84a92cbffffffff,3.0,0.0,0.0
84a9441ffffffff,7.0,0.0,0.0
84a9447ffffffff,2.0,0.0,0.0
84a946bffffffff,1.0,0.0,0.0
84a94e5ffffffff,2.0,0.0,0.0
84a9507ffffffff,1.0,0.0,0.0
84a950bffffffff,2.0,0.0,0.0
84a9531ffffffff,9.0,0.0,0.0
84a9533ffffffff,1.0,0.0,0.0
84a953bffffffff,2.0,0.0,0.0
84a9555ffffffff,1.0,0.0,0.0
84a95edffffffff,17.0,0.0,0.0
84a9623ffffffff,2.0,0.0,0.0
84b24d3ffffffff,4.0,0.0,0.0
84c2f27ffffffff,2.0,0.0,0.0
84c2f3dffffffff,18.0,0.0,0.0
