cell_id,Camptostoma obsoletum,Camptostoma obsoletum [pusillum Group],Camptostoma obsoletum [obsoletum Group]
835f01fffffffff,4.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,22.0,0.0,0.0
835f08fffffffff,38.0,0.0,0.0
835f09fffffffff,87.0,0.0,0.0
835f0bfffffffff,14.0,0.0,0.0
835f0dfffffffff,6.0,0.0,0.0
835f0efffffffff,2.0,0.0,0.0
835f10fffffffff,10.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,40.0,0.0,0.0
835f13fffffffff,10.0,0.0,0.0
835f14fffffffff,7.0,0.0,0.0
835f16fffffffff,3.0,0.0,0.0
835f1cfffffffff,33.0,0.0,0.0
835f1efffffffff,3.0,0.0,0.0
835f22fffffffff,2.0,0.0,0.0
835f29fffffffff,101.0,0.0,0.0
835f2bfffffffff,68.0,0.0,0.0
835f2dfffffffff,53.0,0.0,0.0
835f40fffffffff,43.0,3.0,0.0
835f41fffffffff,21.0,0.0,0.0
835f42fffffffff,15.0,0.0,0.0
835f43fffffffff,3.0,0.0,0.0
835f46fffffffff,5.0,0.0,0.0
835f48fffffffff,28.0,0.0,0.0
835f49fffffffff,10.0,0.0,0.0
835f4afffffffff,35.0,0.0,0.0
835f4bfffffffff,13.0,0.0,0.0
835f4efffffffff,3.0,0.0,0.0
835f50fffffffff,10.0,0.0,0.0
835f58fffffffff,547.0,0.0,0.0
835f59fffffffff,22.0,0.0,0.0
835f5bfffffffff,52.0,0.0,0.0
835f5dfffffffff,9.0,0.0,0.0
835f68fffffffff,65.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f75fffffffff,9.0,2.0,0.0
836600fffffffff,2.0,0.0,0.0
836601fffffffff,4.0,0.0,0.0
836602fffffffff,146.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,65.0,0.0,0.0
836605fffffffff,4.0,1.0,0.0
836606fffffffff,24.0,0.0,0.0
836608fffffffff,206.0,0.0,0.0
836609fffffffff,24.0,0.0,0.0
83660afffffffff,76.0,0.0,0.0
83660bfffffffff,25.0,0.0,0.0
83660cfffffffff,40.0,0.0,0.0
83660dfffffffff,68.0,0.0,0.0
83660efffffffff,118.0,0.0,0.0
836610fffffffff,200.0,30.0,0.0
836611fffffffff,9.0,0.0,0.0
836612fffffffff,26.0,3.0,0.0
836613fffffffff,158.0,14.0,0.0
836616fffffffff,249.0,13.0,0.0
836618fffffffff,180.0,1.0,0.0
836619fffffffff,273.0,0.0,0.0
83661afffffffff,8.0,0.0,0.0
83661bfffffffff,586.0,5.0,0.0
83661cfffffffff,27.0,0.0,0.0
83661dfffffffff,34.0,0.0,0.0
83661efffffffff,23.0,0.0,0.0
836620fffffffff,576.0,36.0,0.0
836621fffffffff,80.0,0.0,0.0
836622fffffffff,610.0,47.0,0.0
836623fffffffff,7.0,0.0,0.0
836625fffffffff,148.0,0.0,0.0
836628fffffffff,1.0,0.0,0.0
836629fffffffff,14.0,0.0,0.0
83662bfffffffff,17.0,0.0,0.0
