cell_id,Ptilinopus rivoli,Ptilinopus rivoli prasinorrhous,Ptilinopus rivoli bellus,Ptilinopus rivoli [rivoli Group]
8472895ffffffff,1.0,0.0,1.0,0.0
84728b9ffffffff,22.0,0.0,1.0,0.0
8472901ffffffff,10.0,2.0,0.0,0.0
8472905ffffffff,33.0,2.0,0.0,0.0
847290dffffffff,5.0,0.0,0.0,0.0
8472a2bffffffff,340.0,0.0,0.0,0.0
8472d23ffffffff,11.0,0.0,0.0,0.0
8472d35ffffffff,1.0,0.0,0.0,0.0
8472d93ffffffff,2.0,0.0,0.0,0.0
8472da1ffffffff,92.0,0.0,0.0,0.0
8472da3ffffffff,72.0,0.0,0.0,0.0
8472db3ffffffff,39.0,0.0,0.0,0.0
8472db7ffffffff,17.0,0.0,0.0,0.0
8472de1ffffffff,1.0,0.0,0.0,0.0
8472f23ffffffff,1.0,0.0,0.0,0.0
84739a1ffffffff,39.0,4.0,0.0,0.0
84739a9ffffffff,1.0,0.0,0.0,0.0
84739abffffffff,7.0,1.0,0.0,0.0
84739b1ffffffff,1.0,0.0,0.0,0.0
8477913ffffffff,1.0,0.0,0.0,0.0
84779c7ffffffff,1.0,0.0,0.0,0.0
8495441ffffffff,3.0,0.0,0.0,0.0
8495449ffffffff,18.0,2.0,0.0,0.0
849544bffffffff,40.0,1.0,0.0,0.0
84956abffffffff,2.0,0.0,0.0,0.0
84956b5ffffffff,2.0,0.0,0.0,0.0
84956bdffffffff,68.0,7.0,0.0,0.0
84956d3ffffffff,22.0,2.0,0.0,0.0
849c851ffffffff,20.0,0.0,0.0,0.0
849c85bffffffff,1.0,0.0,0.0,0.0
849c8a3ffffffff,3.0,0.0,0.0,0.0
849c8a7ffffffff,1.0,0.0,0.0,0.0
849c8b1ffffffff,8.0,0.0,0.0,0.0
849c8b5ffffffff,8.0,0.0,0.0,0.0
849c8bdffffffff,10.0,0.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0,0.0
849c901ffffffff,2.0,0.0,0.0,0.0
849c917ffffffff,1.0,0.0,0.0,0.0
849c961ffffffff,1.0,0.0,0.0,0.0
849c9d1ffffffff,118.0,0.0,0.0,0.0
849c9d5ffffffff,14.0,0.0,0.0,0.0
849c9d7ffffffff,4.0,0.0,0.0,0.0
849c9ddffffffff,2.0,0.0,0.0,0.0
849cb51ffffffff,5.0,0.0,0.0,0.0
849cb59ffffffff,1.0,0.0,0.0,0.0
849cd25ffffffff,2.0,0.0,0.0,0.0
849cd2dffffffff,74.0,0.0,4.0,0.0
849cd31ffffffff,1.0,0.0,0.0,0.0
849cd37ffffffff,1.0,0.0,0.0,0.0
849d983ffffffff,1.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0,0.0
