cell_id,Euphonia laniirostris,Euphonia laniirostris melanura/crassirostris,Euphonia laniirostris [laniirostris Group]
835f48fffffffff,8.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0
835f4afffffffff,32.0,0.0,0.0
835f4bfffffffff,14.0,0.0,0.0
836600fffffffff,7.0,0.0,0.0
836601fffffffff,77.0,2.0,0.0
836602fffffffff,251.0,0.0,0.0
836603fffffffff,11.0,0.0,0.0
836604fffffffff,63.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0
836606fffffffff,30.0,0.0,0.0
836608fffffffff,2673.0,37.0,0.0
836609fffffffff,16.0,0.0,0.0
83660afffffffff,853.0,23.0,0.0
83660bfffffffff,250.0,0.0,0.0
83660cfffffffff,301.0,5.0,0.0
83660dfffffffff,99.0,0.0,0.0
83660efffffffff,256.0,0.0,0.0
836610fffffffff,1586.0,128.0,0.0
836611fffffffff,374.0,0.0,0.0
836612fffffffff,29.0,0.0,0.0
836613fffffffff,436.0,34.0,0.0
836615fffffffff,8.0,0.0,0.0
836616fffffffff,1055.0,77.0,0.0
836618fffffffff,1113.0,15.0,0.0
836619fffffffff,3389.0,41.0,0.0
83661afffffffff,172.0,0.0,0.0
83661bfffffffff,2937.0,27.0,0.0
83661cfffffffff,184.0,0.0,0.0
83661dfffffffff,432.0,4.0,0.0
83661efffffffff,171.0,0.0,0.0
836620fffffffff,1403.0,118.0,0.0
836621fffffffff,326.0,0.0,0.0
836622fffffffff,1157.0,118.0,0.0
836623fffffffff,14.0,0.0,0.0
836625fffffffff,52.0,0.0,0.0
836628fffffffff,4.0,0.0,0.0
836629fffffffff,152.0,2.0,0.0
83662afffffffff,2.0,0.0,0.0
83662bfffffffff,154.0,0.0,0.0
83662dfffffffff,71.0,0.0,0.0
83662efffffffff,102.0,0.0,0.0
836631fffffffff,79.0,1.0,0.0
836641fffffffff,131.0,5.0,0.0
836650fffffffff,2.0,0.0,0.0
836652fffffffff,53.0,0.0,0.0
836654fffffffff,36.0,0.0,0.0
836656fffffffff,285.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0
836670fffffffff,7.0,0.0,0.0
836672fffffffff,172.0,0.0,0.0
836673fffffffff,24.0,0.0,0.0
836674fffffffff,3.0,0.0,0.0
836675fffffffff,2.0,0.0,0.0
836676fffffffff,15.0,0.0,0.0
836684fffffffff,1.0,0.0,0.0
8366a0fffffffff,3321.0,82.0,0.0
8366a1fffffffff,110.0,0.0,0.0
8366a2fffffffff,54.0,4.0,0.0
8366a3fffffffff,197.0,7.0,0.0
8366a5fffffffff,7869.0,439.0,0.0
8366aefffffffff,30.0,3.0,0.0
8366b0fffffffff,516.0,0.0,0.0
8366b1fffffffff,31.0,3.0,0.0
8366b4fffffffff,926.0,0.0,0.0
8366b5fffffffff,4259.0,61.0,0.0
8366b6fffffffff,72.0,0.0,0.0
8366c0fffffffff,203.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0
8366c2fffffffff,959.0,0.0,0.0
8366c3fffffffff,8.0,0.0,0.0
8366c4fffffffff,1202.0,0.0,0.0
8366c5fffffffff,27.0,0.0,0.0
8366c6fffffffff,770.0,21.0,0.0
8366cefffffffff,25.0,0.0,0.0
8366d0fffffffff,422.0,0.0,13.0
8366d1fffffffff,55.0,0.0,0.0
8366d2fffffffff,181.0,0.0,22.0
8366d3fffffffff,7774.0,0.0,835.0
8366d5fffffffff,3.0,0.0,0.0
8366d6fffffffff,2.0,0.0,0.0
8366d8fffffffff,6.0,0.0,0.0
8366dafffffffff,190.0,19.0,0.0
8366dbfffffffff,10.0,0.0,0.0
8366dcfffffffff,525.0,52.0,0.0
8366ddfffffffff,40.0,6.0,0.0
8366defffffffff,467.0,49.0,0.0
8366e0fffffffff,2436.0,17.0,0.0
8366e1fffffffff,299.0,0.0,0.0
8366e2fffffffff,332.0,1.0,0.0
8366e3fffffffff,153.0,11.0,0.0
8366e4fffffffff,2001.0,62.0,0.0
8366e5fffffffff,1883.0,9.0,0.0
8366e6fffffffff,8423.0,111.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,386.0,2.0,0.0
8366eefffffffff,69.0,0.0,0.0
8366f0fffffffff,419.0,0.0,0.0
8366f1fffffffff,2692.0,28.0,0.0
8366f5fffffffff,3952.0,69.0,0.0
836741fffffffff,159.0,3.0,0.0
836742fffffffff,318.0,2.0,0.0
836743fffffffff,366.0,3.0,0.0
83674cfffffffff,576.0,35.0,0.0
83674efffffffff,172.0,0.0,0.0
836750fffffffff,2.0,0.0,0.0
836751fffffffff,272.0,0.0,0.0
836752fffffffff,4.0,0.0,0.0
836753fffffffff,163.0,0.0,0.0
836755fffffffff,8.0,0.0,0.0
836756fffffffff,2.0,0.0,0.0
836758fffffffff,9.0,0.0,0.0
83675afffffffff,103.0,4.0,0.0
83675bfffffffff,1.0,0.0,0.0
83675cfffffffff,232.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0
83675efffffffff,57.0,1.0,0.0
83676bfffffffff,2.0,0.0,0.0
83678bfffffffff,12.0,0.0,0.0
836d69fffffffff,2.0,0.0,0.0
838a00fffffffff,15.0,0.0,0.0
838a05fffffffff,13.0,0.0,0.0
838a10fffffffff,9.0,0.0,0.0
838a15fffffffff,8.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0
838a21fffffffff,2.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a2efffffffff,1.0,0.0,0.0
838a31fffffffff,12.0,0.0,0.0
838a33fffffffff,3.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0
838a45fffffffff,239.0,0.0,0.0
838a63fffffffff,25.0,0.0,0.0
838a68fffffffff,11.0,0.0,0.0
838a69fffffffff,55.0,0.0,0.0
838a6dfffffffff,189.0,0.0,0.0
838a70fffffffff,1.0,0.0,0.0
838aaafffffffff,11.0,0.0,0.0
838aabfffffffff,2.0,0.0,0.0
838af4fffffffff,10.0,0.0,0.0
838af6fffffffff,25.0,0.0,0.0
838b01fffffffff,1.0,0.0,0.0
838b04fffffffff,2.0,0.0,0.0
838b0afffffffff,2.0,0.0,0.0
838b0bfffffffff,2.0,0.0,0.0
838b0cfffffffff,15.0,0.0,0.0
838b0dfffffffff,40.0,0.0,0.0
838b0efffffffff,3.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b1efffffffff,7.0,0.0,0.0
838b20fffffffff,5.0,0.0,0.0
838b21fffffffff,8.0,0.0,0.0
