cell_id,Anthus cinnamomeus,Anthus cinnamomeus camaroonensis,Anthus cinnamomeus eximius,Anthus cinnamomeus [cinnamomeus Group],Anthus cinnamomeus latistriatus,Anthus cinnamomeus grotei
825207fffffffff,5.0,0.0,2.0,0.0,0.0,0.0
827a4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
827a6ffffffffff,19.0,0.0,0.0,11.0,0.0,0.0
827b4ffffffffff,98.0,0.0,0.0,15.0,0.0,0.0
827b5ffffffffff,3.0,0.0,0.0,1.0,0.0,0.0
8282d7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
829707fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829717fffffffff,14.0,0.0,0.0,10.0,0.0,0.0
82972ffffffffff,3.0,0.0,0.0,2.0,0.0,0.0
829747fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
82ac17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82ac87fffffffff,2.0,0.0,0.0,0.0,0.0,1.0
82bc57fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
82bc8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
