cell_id,Automolus infuscatus,Automolus infuscatus cervicalis/badius,Automolus infuscatus infuscatus/purusianus
825f07fffffffff,5.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0
825f17fffffffff,32.0,0.0,0.0
825f1ffffffffff,4.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
825f6ffffffffff,23.0,0.0,0.0
825f77fffffffff,6.0,1.0,0.0
826647fffffffff,4.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0
82665ffffffffff,94.0,0.0,0.0
82666ffffffffff,5.0,0.0,0.0
8266cffffffffff,6.0,0.0,0.0
8266dffffffffff,108.0,0.0,15.0
8266effffffffff,10.0,0.0,0.0
82804ffffffffff,3.0,3.0,0.0
82806ffffffffff,2.0,1.0,0.0
828a07fffffffff,8.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0
828a1ffffffffff,12.0,0.0,3.0
828a47fffffffff,38.0,0.0,1.0
828a57fffffffff,2.0,0.0,0.0
828a67fffffffff,1.0,0.0,0.0
828a6ffffffffff,42.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828adffffffffff,1.0,1.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,354.0,22.0,0.0
828b47fffffffff,393.0,0.0,0.0
828b4ffffffffff,2.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b67fffffffff,114.0,0.0,0.0
828b6ffffffffff,49.0,0.0,0.0
828b77fffffffff,27.0,0.0,0.0
828f47fffffffff,8.0,0.0,0.0
828f4ffffffffff,27.0,0.0,0.0
828f67fffffffff,4.0,0.0,0.0
828f6ffffffffff,9.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
