cell_id,Monticola solitarius,Monticola solitarius solitarius/longirostris,Monticola solitarius pandoo,Monticola solitarius philippensis,Monticola solitarius madoci,Monticola solitarius pandoo x philippensis
82184ffffffffff,45.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,86.0,0.0,0.0,0.0,0.0,0.0
821e8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
821e9ffffffffff,69.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
821eaffffffffff,150.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,90.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,140.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,166.0,0.0,0.0,0.0,0.0,0.0
821ed7fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,270.0,4.0,0.0,0.0,0.0,0.0
821ef7fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
821f8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821f97fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821f9ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82201ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
822087fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
82209ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8220a7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8220affffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8220e7fffffffff,47.0,0.0,16.0,0.0,0.0,0.0
822c07fffffffff,226.0,6.0,0.0,0.0,0.0,0.0
822c0ffffffffff,40.0,0.0,0.0,0.0,0.0,0.0
822c17fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
822c1ffffffffff,42.0,0.0,0.0,0.0,0.0,0.0
822c27fffffffff,26.0,1.0,0.0,0.0,0.0,0.0
822c2ffffffffff,102.0,0.0,0.0,0.0,0.0,0.0
822c37fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
822c77fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
822c8ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0
822c97fffffffff,211.0,0.0,0.0,0.0,0.0,0.0
822c9ffffffffff,15.0,1.0,0.0,0.0,0.0,0.0
822caffffffffff,85.0,4.0,0.0,0.0,0.0,0.0
822cc7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
822ccffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822cd7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
822cdffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
822cf7fffffffff,56.0,5.0,0.0,0.0,0.0,0.0
822d07fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
822d17fffffffff,197.0,7.0,0.0,0.0,0.0,0.0
822d1ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
822d37fffffffff,71.0,2.0,0.0,0.0,0.0,0.0
822d87fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822d97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822da7fffffffff,100.0,2.0,0.0,0.0,0.0,0.0
822daffffffffff,137.0,8.0,0.0,0.0,0.0,0.0
822db7fffffffff,1002.0,66.0,0.0,0.0,0.0,0.0
822e0ffffffffff,108.0,0.0,0.0,10.0,0.0,0.0
822e17fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
822e1ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822e2ffffffffff,11.0,0.0,0.0,1.0,0.0,0.0
822e47fffffffff,15.0,0.0,0.0,2.0,0.0,0.0
822e4ffffffffff,2.0,0.0,0.0,1.0,0.0,0.0
822e67fffffffff,335.0,0.0,0.0,14.0,0.0,0.0
822e6ffffffffff,197.0,0.0,0.0,3.0,0.0,0.0
822e77fffffffff,25.0,0.0,0.0,4.0,0.0,0.0
822eaffffffffff,13.0,0.0,0.0,5.0,0.0,0.0
822ef7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
