cell_id,Megascops roraimae,Megascops roraimae roraimae,Megascops roraimae [napensis Group]
825f07fffffffff,2.0,2.0,0.0
825f2ffffffffff,3.0,0.0,2.0
825f77fffffffff,7.0,2.0,0.0
82662ffffffffff,19.0,4.0,0.0
8266c7fffffffff,2.0,0.0,0.0
8266d7fffffffff,11.0,0.0,2.0
8266dffffffffff,11.0,0.0,4.0
826747fffffffff,7.0,1.0,0.0
82674ffffffffff,4.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
828adffffffffff,1.0,0.0,0.0
828b67fffffffff,6.0,0.0,4.0
828b6ffffffffff,5.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
828e67fffffffff,11.0,0.0,2.0
828f47fffffffff,2.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0
