cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
8448021ffffffff,13.0,0.0,0.0
8448029ffffffff,6.0,0.0,0.0
844802bffffffff,124.0,2.0,0.0
844803bffffffff,1.0,0.0,0.0
8448061ffffffff,4.0,0.0,0.0
8448065ffffffff,41.0,0.0,0.0
8448067ffffffff,5.0,0.0,0.0
844806dffffffff,33.0,0.0,0.0
8448097ffffffff,24.0,0.0,0.0
84480a3ffffffff,4.0,0.0,0.0
84480a5ffffffff,11.0,0.0,0.0
84480adffffffff,694.0,0.0,0.0
84480bbffffffff,10.0,0.0,0.0
84480e1ffffffff,11.0,0.0,0.0
84480e5ffffffff,20.0,4.0,0.0
84480edffffffff,14.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0
844814dffffffff,12.0,0.0,0.0
844815bffffffff,69.0,0.0,0.0
844819dffffffff,2.0,0.0,0.0
84481d5ffffffff,2.0,0.0,0.0
84481d7ffffffff,2.0,0.0,0.0
84481d9ffffffff,2.0,0.0,0.0
84481dbffffffff,17.0,0.0,0.0
8448305ffffffff,4.0,2.0,0.0
8448309ffffffff,45.0,0.0,41.0
844830dffffffff,5.0,0.0,5.0
8448323ffffffff,3.0,0.0,0.0
8448329ffffffff,11.0,4.0,0.0
844832bffffffff,32.0,0.0,0.0
8448331ffffffff,90.0,1.0,0.0
8448333ffffffff,76.0,7.0,0.0
8448335ffffffff,1.0,0.0,0.0
8448337ffffffff,171.0,18.0,0.0
844833bffffffff,186.0,16.0,0.0
844833dffffffff,21.0,0.0,0.0
8448347ffffffff,2.0,0.0,0.0
8448361ffffffff,1472.0,111.0,22.0
8448363ffffffff,1972.0,134.0,101.0
8448365ffffffff,314.0,35.0,0.0
8448367ffffffff,151.0,40.0,0.0
8448369ffffffff,1935.0,75.0,52.0
844836dffffffff,60.0,3.0,0.0
8448e19ffffffff,5.0,0.0,0.0
8448e41ffffffff,2.0,0.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e49ffffffff,19.0,0.0,0.0
8448e4bffffffff,7.0,0.0,0.0
8448e4dffffffff,2.0,0.0,0.0
8448e55ffffffff,16.0,0.0,0.0
8448e57ffffffff,2.0,0.0,0.0
8448e5bffffffff,3.0,0.0,0.0
8448e5dffffffff,5.0,0.0,0.0
8448ecdffffffff,3.0,0.0,0.0
8449801ffffffff,91.0,0.0,0.0
8449803ffffffff,7.0,0.0,0.0
8449807ffffffff,37.0,0.0,0.0
8449809ffffffff,89.0,0.0,0.0
844980bffffffff,602.0,0.0,0.0
844980dffffffff,66.0,0.0,0.0
8449811ffffffff,2.0,0.0,0.0
8449815ffffffff,57.0,0.0,0.0
8449819ffffffff,14.0,0.0,0.0
8449821ffffffff,9.0,0.0,0.0
8449823ffffffff,15.0,4.0,0.0
8449825ffffffff,2.0,0.0,0.0
8449827ffffffff,3.0,0.0,0.0
8449829ffffffff,2.0,0.0,0.0
844982bffffffff,7.0,0.0,0.0
844982dffffffff,60.0,0.0,0.0
8449831ffffffff,32.0,0.0,0.0
8449833ffffffff,5.0,0.0,0.0
8449837ffffffff,3.0,0.0,0.0
8449839ffffffff,3.0,0.0,0.0
844983bffffffff,13.0,0.0,0.0
844983dffffffff,125.0,7.0,0.0
8449843ffffffff,12.0,0.0,0.0
8449851ffffffff,2.0,0.0,0.0
8449853ffffffff,4.0,0.0,0.0
8449855ffffffff,67.0,0.0,0.0
8449857ffffffff,9.0,0.0,0.0
8449861ffffffff,18.0,4.0,0.0
8449863ffffffff,25.0,0.0,0.0
8449865ffffffff,52.0,11.0,0.0
8449867ffffffff,3.0,0.0,0.0
8449869ffffffff,67.0,22.0,0.0
844986dffffffff,105.0,33.0,0.0
8449885ffffffff,7.0,0.0,0.0
8449889ffffffff,2.0,0.0,0.0
844988dffffffff,33.0,0.0,0.0
84498c7ffffffff,2.0,0.0,0.0
84498c9ffffffff,220.0,2.0,0.0
84498cbffffffff,2.0,0.0,0.0
84498d3ffffffff,1.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0
84498dbffffffff,4.0,4.0,0.0
84498e3ffffffff,4.0,0.0,0.0
84498ebffffffff,52.0,0.0,0.0
84498edffffffff,33.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0
8449919ffffffff,3.0,0.0,0.0
844991dffffffff,3.0,0.0,0.0
8449941ffffffff,9.0,0.0,0.0
8449943ffffffff,66.0,0.0,0.0
8449947ffffffff,2.0,0.0,0.0
844994bffffffff,343.0,0.0,0.0
844994dffffffff,7.0,0.0,0.0
8449951ffffffff,310.0,12.0,0.0
8449953ffffffff,145.0,0.0,0.0
8449957ffffffff,104.0,0.0,0.0
8449959ffffffff,2776.0,354.0,0.0
844995bffffffff,1714.0,175.0,0.0
844995dffffffff,14.0,0.0,0.0
84499c9ffffffff,1.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a21ffffffff,17.0,2.0,0.0
8449a23ffffffff,9.0,0.0,0.0
8449a2bffffffff,80.0,8.0,0.0
8449a31ffffffff,3.0,0.0,0.0
8449a3dffffffff,45.0,1.0,0.0
8449a81ffffffff,59.0,0.0,0.0
8449a83ffffffff,141.0,5.0,0.0
8449a85ffffffff,277.0,1.0,0.0
8449a87ffffffff,22.0,5.0,0.0
8449a89ffffffff,90.0,6.0,0.0
8449a8bffffffff,46.0,0.0,0.0
8449a8dffffffff,684.0,5.0,0.0
8449a91ffffffff,786.0,64.0,0.0
8449a93ffffffff,522.0,23.0,0.0
8449a95ffffffff,9.0,0.0,0.0
8449a97ffffffff,719.0,14.0,0.0
8449a99ffffffff,1.0,0.0,0.0
8449a9bffffffff,29.0,0.0,0.0
8449aa1ffffffff,25.0,0.0,0.0
8449aa3ffffffff,714.0,46.0,0.0
8449aa5ffffffff,14.0,3.0,0.0
8449aa7ffffffff,21.0,2.0,0.0
8449aa9ffffffff,27.0,4.0,0.0
8449aabffffffff,27.0,2.0,0.0
8449ab1ffffffff,84.0,4.0,0.0
8449ab3ffffffff,9.0,0.0,0.0
8449ab5ffffffff,339.0,11.0,0.0
8449ab7ffffffff,5.0,0.0,0.0
8449ab9ffffffff,5.0,0.0,0.0
8449abbffffffff,10.0,0.0,0.0
8449abdffffffff,109.0,17.0,0.0
8449ad5ffffffff,24.0,2.0,0.0
8449ad7ffffffff,26.0,4.0,0.0
8449ae1ffffffff,1.0,0.0,0.0
8449ae3ffffffff,83.0,5.0,0.0
8449b01ffffffff,4.0,0.0,0.0
8449b03ffffffff,32.0,2.0,0.0
8449b09ffffffff,1.0,0.0,0.0
8449b0bffffffff,10.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b13ffffffff,1.0,0.0,0.0
8449b15ffffffff,2.0,0.0,0.0
8449b19ffffffff,20.0,0.0,0.0
8449b1dffffffff,4.0,0.0,0.0
8449b21ffffffff,38.0,2.0,0.0
8449b23ffffffff,2.0,0.0,0.0
8449b25ffffffff,6.0,0.0,0.0
8449b2bffffffff,32.0,0.0,0.0
8449b2dffffffff,53.0,0.0,0.0
8449b31ffffffff,169.0,0.0,0.0
8449b33ffffffff,1333.0,2.0,0.0
8449b35ffffffff,66.0,1.0,0.0
8449b37ffffffff,250.0,14.0,0.0
8449b39ffffffff,6.0,3.0,0.0
8449b3bffffffff,92.0,6.0,0.0
8449b3dffffffff,3.0,3.0,0.0
8449b43ffffffff,3.0,0.0,0.0
8449b47ffffffff,5.0,0.0,0.0
8449b51ffffffff,3.0,0.0,0.0
8449b53ffffffff,33.0,0.0,0.0
8449b55ffffffff,56.0,1.0,0.0
8449b57ffffffff,64.0,15.0,0.0
8449b61ffffffff,1.0,0.0,0.0
8449b65ffffffff,2.0,0.0,0.0
8449b67ffffffff,8.0,1.0,0.0
8449b69ffffffff,2.0,0.0,0.0
8449b6bffffffff,7.0,0.0,0.0
8449b6dffffffff,17.0,0.0,0.0
846d069ffffffff,7.0,0.0,0.0
846d06dffffffff,27.0,2.0,0.0
846d141ffffffff,44.0,0.0,0.0
846d143ffffffff,43.0,24.0,0.0
846d149ffffffff,2.0,0.0,0.0
846d14bffffffff,6.0,1.0,0.0
846d14dffffffff,1.0,0.0,0.0
846d159ffffffff,799.0,130.0,0.0
846d15dffffffff,81.0,8.0,0.0
846d303ffffffff,2.0,0.0,0.0
846d305ffffffff,43.0,4.0,0.0
846d311ffffffff,2.0,0.0,0.0
846d313ffffffff,41.0,0.0,0.0
846d317ffffffff,46.0,0.0,0.0
846d323ffffffff,13.0,0.0,0.0
846d329ffffffff,4.0,0.0,0.0
846d32bffffffff,1318.0,108.0,0.0
846d333ffffffff,22.0,2.0,0.0
846d335ffffffff,9.0,0.0,0.0
846d337ffffffff,183.0,26.0,0.0
846d339ffffffff,13.0,1.0,0.0
846d33bffffffff,22.0,2.0,0.0
846d33dffffffff,147.0,4.0,0.0
846d361ffffffff,5.0,0.0,0.0
846d365ffffffff,4.0,0.0,0.0
846d367ffffffff,10.0,0.0,0.0
