cell_id,Ramosomyia viridifrons,Ramosomyia viridifrons viridifrons,Ramosomyia viridifrons wagneri,Ramosomyia viridifrons villadai
8449b03ffffffff,8.0,0.0,0.0,0.0
8449b05ffffffff,4.0,0.0,0.0,0.0
8449b0bffffffff,3.0,0.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0,0.0
8449b15ffffffff,6.0,0.0,0.0,0.0
8449b19ffffffff,6.0,0.0,0.0,0.0
8449b29ffffffff,2.0,0.0,0.0,0.0
8449b2bffffffff,11.0,0.0,0.0,0.0
8449b2dffffffff,2.0,0.0,0.0,0.0
8449b57ffffffff,10.0,0.0,0.0,0.0
8449b65ffffffff,3.0,0.0,0.0,0.0
8449b67ffffffff,8.0,0.0,0.0,0.0
846d041ffffffff,1.0,0.0,0.0,0.0
846d049ffffffff,142.0,57.0,0.0,0.0
846d04bffffffff,168.0,51.0,0.0,0.0
846d04dffffffff,29.0,0.0,0.0,0.0
846d05dffffffff,1.0,0.0,0.0,0.0
846d141ffffffff,2.0,0.0,0.0,0.0
846d14bffffffff,1.0,0.0,0.0,0.0
846d159ffffffff,1.0,0.0,0.0,0.0
846d231ffffffff,102.0,4.0,0.0,0.0
846d233ffffffff,3.0,3.0,0.0,0.0
846d235ffffffff,3.0,2.0,0.0,0.0
846d239ffffffff,26.0,0.0,0.0,0.0
846d23dffffffff,46.0,8.0,0.0,0.0
846d2c7ffffffff,1.0,0.0,0.0,0.0
846d2e3ffffffff,11.0,0.0,0.0,0.0
846d2e5ffffffff,2.0,0.0,0.0,0.0
846d2e9ffffffff,3.0,0.0,0.0,0.0
846d2ebffffffff,37.0,0.0,0.0,0.0
846d311ffffffff,4.0,0.0,0.0,0.0
846d313ffffffff,179.0,0.0,0.0,0.0
846d317ffffffff,1.0,0.0,0.0,0.0
846d329ffffffff,3.0,0.0,0.0,0.0
846d32bffffffff,24.0,0.0,0.0,0.0
846d331ffffffff,2.0,0.0,0.0,0.0
846d333ffffffff,2.0,0.0,0.0,0.0
846d337ffffffff,67.0,0.0,26.0,0.0
846d339ffffffff,1.0,0.0,0.0,0.0
846d33dffffffff,128.0,0.0,0.0,0.0
