cell_id,Camarhynchus pallidus,Camarhynchus pallidus pallidus/productus,Camarhynchus pallidus striatipecta
846c5b1ffffffff,1.0,0.0,0.0
846c5bbffffffff,9.0,8.0,0.0
848fa45ffffffff,4.0,0.0,4.0
848fa65ffffffff,1.0,0.0,0.0
848fa6dffffffff,3.0,0.0,0.0
