cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
838b25fffffffff,2.0,0.0,2.0
838b61fffffffff,2.0,0.0,2.0
838b64fffffffff,3.0,0.0,3.0
838e66fffffffff,10.0,0.0,8.0
838e6cfffffffff,2.0,0.0,2.0
838f54fffffffff,14.0,0.0,0.0
838f55fffffffff,2.0,2.0,0.0
838f58fffffffff,1.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0
83b305fffffffff,42.0,0.0,40.0
83b320fffffffff,3.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b342fffffffff,14.0,0.0,0.0
83b351fffffffff,8.0,0.0,0.0
83b35afffffffff,4.0,0.0,2.0
83b35efffffffff,4.0,0.0,0.0
