cell_id,Cyanoliseus patagonus,Cyanoliseus patagonus andinus,Cyanoliseus patagonus patagonus/conlara,Cyanoliseus patagonus bloxami
8429a41ffffffff,27.0,0.0,2.0,0.0
8429a45ffffffff,1.0,0.0,0.0,0.0
8429a4dffffffff,64.0,0.0,0.0,0.0
8439195ffffffff,1.0,0.0,0.0,0.0
8439447ffffffff,1.0,0.0,0.0,0.0
8439749ffffffff,1.0,0.0,0.0,0.0
8449959ffffffff,1.0,0.0,0.0,0.0
845d107ffffffff,6.0,0.0,0.0,0.0
84b20b3ffffffff,2.0,0.0,0.0,0.0
84b2191ffffffff,64.0,0.0,0.0,0.0
84b2193ffffffff,5.0,0.0,0.0,0.0
84b2199ffffffff,34.0,0.0,0.0,0.0
84b219bffffffff,2.0,0.0,0.0,0.0
84b219dffffffff,8.0,0.0,0.0,0.0
84b21d1ffffffff,4.0,0.0,0.0,0.0
84b21d3ffffffff,14.0,0.0,0.0,0.0
84b21d7ffffffff,16.0,0.0,0.0,0.0
84b24adffffffff,2.0,0.0,0.0,0.0
84b2583ffffffff,4.0,0.0,0.0,0.0
84b2585ffffffff,2.0,0.0,0.0,0.0
84b25c9ffffffff,1.0,0.0,0.0,0.0
84b2705ffffffff,4.0,4.0,0.0,0.0
84b270dffffffff,1.0,0.0,0.0,0.0
84b2761ffffffff,2.0,2.0,0.0,0.0
84b2c01ffffffff,3.0,0.0,0.0,0.0
84b2c11ffffffff,26.0,0.0,0.0,2.0
84b2c15ffffffff,3.0,0.0,0.0,3.0
84b2c17ffffffff,2.0,0.0,0.0,0.0
84b2c1dffffffff,5.0,0.0,0.0,0.0
84b2c51ffffffff,1.0,0.0,0.0,0.0
84b2c53ffffffff,12.0,0.0,0.0,0.0
84b2c55ffffffff,2.0,0.0,0.0,2.0
84b2c57ffffffff,19.0,0.0,0.0,0.0
84b2ddbffffffff,2.0,0.0,0.0,2.0
84b2eb9ffffffff,3.0,0.0,0.0,0.0
84b35a5ffffffff,4.0,4.0,0.0,0.0
84b35a7ffffffff,3.0,0.0,0.0,0.0
84b35adffffffff,7.0,2.0,0.0,0.0
84b35e1ffffffff,4.0,4.0,0.0,0.0
84c21d5ffffffff,3.0,0.0,0.0,0.0
84c2e31ffffffff,15.0,0.0,0.0,0.0
84c2e33ffffffff,1.0,0.0,0.0,0.0
84c2e39ffffffff,1.0,0.0,0.0,0.0
84c3089ffffffff,3.0,0.0,0.0,0.0
84c3297ffffffff,1.0,0.0,1.0,0.0
84c32e1ffffffff,2.0,0.0,2.0,0.0
84c3569ffffffff,2.0,0.0,0.0,0.0
