cell_id,Cranioleuca antisiensis,Cranioleuca antisiensis antisiensis/palamblae,Cranioleuca antisiensis [baroni Group]
848e629ffffffff,9.0,1.0,6.0
848e663ffffffff,4.0,2.0,2.0
848f50dffffffff,1.0,1.0,0.0
848f597ffffffff,52.0,2.0,21.0
848f729ffffffff,3.0,1.0,0.0
