cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
844505bffffffff,12.0,0.0,2.0
8445093ffffffff,12.0,0.0,12.0
8445099ffffffff,2.0,0.0,0.0
844509bffffffff,64.0,0.0,32.0
84450b1ffffffff,49.0,0.0,8.0
84450b5ffffffff,82.0,0.0,0.0
84450b9ffffffff,1.0,0.0,0.0
84450bbffffffff,1.0,0.0,1.0
84450bdffffffff,2.0,0.0,0.0
84450d3ffffffff,3.0,0.0,3.0
84450d5ffffffff,2.0,0.0,0.0
84450dbffffffff,1.0,0.0,0.0
84452a1ffffffff,3.0,0.0,0.0
84452a9ffffffff,19.0,0.0,0.0
84452adffffffff,417.0,0.0,27.0
84452c1ffffffff,2.0,0.0,0.0
84452c5ffffffff,265.0,0.0,99.0
84452c7ffffffff,2.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0
84452e5ffffffff,1.0,0.0,0.0
84452e7ffffffff,41.0,0.0,0.0
8445721ffffffff,4.0,0.0,0.0
8445723ffffffff,2.0,0.0,2.0
8445725ffffffff,2.0,0.0,0.0
8448097ffffffff,2.0,0.0,0.0
84480adffffffff,8.0,0.0,0.0
84480bbffffffff,2.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0
844816bffffffff,5.0,0.0,0.0
8448333ffffffff,1.0,0.0,0.0
844833bffffffff,1.0,0.0,0.0
8448363ffffffff,6.0,0.0,0.0
8448365ffffffff,2.0,0.0,0.0
844836dffffffff,1.0,0.0,0.0
844852dffffffff,7.0,0.0,0.0
8448845ffffffff,2.0,0.0,0.0
8448951ffffffff,4.0,0.0,0.0
8448959ffffffff,14.0,0.0,0.0
8448a01ffffffff,2.0,0.0,0.0
8448a05ffffffff,30.0,0.0,0.0
8448a23ffffffff,2.0,0.0,0.0
8448a27ffffffff,2.0,0.0,0.0
8448a29ffffffff,8.0,0.0,0.0
8448a2bffffffff,5.0,0.0,0.0
8448a63ffffffff,50.0,0.0,0.0
8448a6bffffffff,6.0,0.0,0.0
