cell_id,Picoides dorsalis,Picoides dorsalis dorsalis,Picoides dorsalis fasciatus,Picoides dorsalis bacatus
820c47fffffffff,2.0,0.0,0.0,0.0
820c57fffffffff,12.0,0.0,0.0,0.0
820c5ffffffffff,3.0,0.0,0.0,0.0
820c77fffffffff,69.0,0.0,2.0,0.0
820ceffffffffff,6.0,0.0,2.0,0.0
820d57fffffffff,1.0,0.0,0.0,0.0
820e4ffffffffff,15.0,0.0,0.0,0.0
820e67fffffffff,3.0,0.0,0.0,0.0
820e6ffffffffff,8.0,0.0,0.0,0.0
820ecffffffffff,17.0,0.0,0.0,2.0
820edffffffffff,9.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0
82125ffffffffff,7.0,0.0,0.0,0.0
82128ffffffffff,3.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0
8212c7fffffffff,9.0,0.0,4.0,0.0
8212cffffffffff,18.0,5.0,0.0,0.0
8212d7fffffffff,10.0,0.0,0.0,0.0
8212dffffffffff,17.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0
821aa7fffffffff,5.0,0.0,0.0,0.0
821b9ffffffffff,3.0,0.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0,0.0
822687fffffffff,44.0,15.0,0.0,0.0
82268ffffffffff,44.0,5.0,0.0,0.0
822697fffffffff,183.0,21.0,0.0,0.0
82269ffffffffff,48.0,2.0,0.0,0.0
8226a7fffffffff,27.0,0.0,0.0,0.0
8226d7fffffffff,1.0,0.0,0.0,0.0
82270ffffffffff,547.0,0.0,0.0,53.0
822717fffffffff,3.0,0.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0,0.0
822757fffffffff,34.0,0.0,0.0,5.0
822767fffffffff,3.0,0.0,0.0,0.0
822777fffffffff,27.0,0.0,0.0,7.0
82278ffffffffff,12.0,0.0,0.0,0.0
82279ffffffffff,3.0,3.0,0.0,0.0
8227b7fffffffff,4.0,0.0,0.0,0.0
82281ffffffffff,80.0,0.0,6.0,0.0
822887fffffffff,7.0,0.0,0.0,0.0
82288ffffffffff,10.0,0.0,2.0,0.0
822897fffffffff,2.0,0.0,0.0,0.0
82289ffffffffff,10.0,2.0,0.0,0.0
8228affffffffff,159.0,0.0,3.0,0.0
8228b7fffffffff,4.0,1.0,0.0,0.0
8228d7fffffffff,191.0,0.0,9.0,0.0
8228dffffffffff,39.0,0.0,0.0,0.0
8228f7fffffffff,29.0,0.0,2.0,0.0
822997fffffffff,12.0,2.0,0.0,0.0
8229b7fffffffff,2.0,0.0,0.0,0.0
822a37fffffffff,2.0,0.0,0.0,0.0
822b17fffffffff,70.0,0.0,0.0,5.0
822b37fffffffff,5.0,0.0,0.0,0.0
822b87fffffffff,115.0,0.0,0.0,3.0
822b8ffffffffff,12.0,0.0,0.0,0.0
822b97fffffffff,16.0,0.0,0.0,4.0
822b9ffffffffff,15.0,0.0,0.0,0.0
822ba7fffffffff,9.0,0.0,0.0,0.0
822baffffffffff,30.0,0.0,0.0,0.0
8248c7fffffffff,20.0,2.0,0.0,0.0
8248cffffffffff,14.0,12.0,0.0,0.0
8248d7fffffffff,5.0,1.0,0.0,0.0
8248dffffffffff,19.0,3.0,0.0,0.0
