cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
835f71fffffffff,6.0,0.0,0.0,0.0
835f75fffffffff,6.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0,0.0
8366d3fffffffff,12.0,0.0,0.0,0.0
8366d5fffffffff,32.0,0.0,0.0,0.0
8366e6fffffffff,18.0,0.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,5.0,0.0,0.0,0.0
838b69fffffffff,8.0,0.0,0.0,0.0
838e62fffffffff,1.0,0.0,0.0,0.0
838e66fffffffff,3.0,0.0,0.0,0.0
838f29fffffffff,4.0,0.0,0.0,0.0
838f46fffffffff,3.0,0.0,0.0,0.0
838f4bfffffffff,5.0,0.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0,0.0
83a824fffffffff,2.0,0.0,0.0,0.0
83a90efffffffff,7.0,0.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0,0.0
83a961fffffffff,27.0,0.0,0.0,0.0
83a96cfffffffff,6.0,0.0,0.0,0.0
83b222fffffffff,1.0,0.0,0.0,0.0
83b249fffffffff,33.0,0.0,0.0,0.0
83b24dfffffffff,453.0,0.0,0.0,0.0
83b268fffffffff,15.0,0.0,0.0,0.0
83b269fffffffff,49.0,0.0,0.0,0.0
83b26bfffffffff,6.0,0.0,0.0,0.0
83b26dfffffffff,54.0,0.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0,0.0
83b2e8fffffffff,1.0,0.0,0.0,0.0
83b2eefffffffff,2.0,0.0,0.0,0.0
83b304fffffffff,1.0,0.0,0.0,0.0
83b305fffffffff,6.0,0.0,0.0,0.0
83c2c5fffffffff,13.0,0.0,0.0,0.0
83c2c6fffffffff,6.0,0.0,0.0,0.0
83c2c9fffffffff,26.0,0.0,0.0,0.0
83c2cdfffffffff,83.0,0.0,0.0,0.0
83c2d4fffffffff,1.0,0.0,0.0,0.0
83c2d5fffffffff,1.0,0.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0,0.0
83c2e9fffffffff,12.0,0.0,0.0,0.0
83c2eafffffffff,1.0,0.0,0.0,0.0
83c2ebfffffffff,23.0,0.0,0.0,0.0
83c2f2fffffffff,2.0,0.0,0.0,0.0
83c2f3fffffffff,4.0,0.0,0.0,0.0
83c34bfffffffff,6.0,0.0,0.0,0.0
83c364fffffffff,1.0,0.0,0.0,0.0
83c371fffffffff,2.0,0.0,0.0,0.0
