cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
832602fffffffff,19.0,0.0,0.0,0.0
832603fffffffff,48.0,0.0,0.0,0.0
832606fffffffff,3.0,0.0,0.0,0.0
832609fffffffff,4.0,0.0,0.0,0.0
83260afffffffff,46.0,2.0,0.0,0.0
83260bfffffffff,2.0,0.0,0.0,0.0
832610fffffffff,10.0,0.0,0.0,0.0
832611fffffffff,86.0,0.0,0.0,0.0
832613fffffffff,30.0,0.0,0.0,0.0
832614fffffffff,20.0,0.0,0.0,0.0
832615fffffffff,115.0,0.0,0.0,0.0
832618fffffffff,108.0,0.0,0.0,0.0
832619fffffffff,27.0,0.0,0.0,0.0
83261afffffffff,53.0,0.0,0.0,0.0
83261bfffffffff,19.0,0.0,0.0,0.0
83261cfffffffff,150.0,0.0,0.0,0.0
83261dfffffffff,17.0,0.0,0.0,0.0
83261efffffffff,30.0,0.0,0.0,0.0
832620fffffffff,7.0,0.0,0.0,0.0
832622fffffffff,3.0,0.0,0.0,0.0
832623fffffffff,2.0,0.0,0.0,0.0
832624fffffffff,84.0,0.0,0.0,0.0
832626fffffffff,474.0,0.0,0.0,0.0
832633fffffffff,25.0,0.0,0.0,0.0
832652fffffffff,49.0,0.0,0.0,0.0
832653fffffffff,11.0,0.0,0.0,0.0
8326a8fffffffff,82.0,0.0,0.0,0.0
8326a9fffffffff,764.0,0.0,0.0,0.0
8326abfffffffff,181.0,0.0,0.0,0.0
8326adfffffffff,47.0,0.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0,0.0
8326e0fffffffff,72.0,0.0,0.0,0.0
8326e1fffffffff,20.0,0.0,0.0,0.0
8326e2fffffffff,57.0,0.0,0.0,0.0
8326e3fffffffff,4.0,0.0,0.0,0.0
8326e4fffffffff,187.0,0.0,0.0,0.0
8326e5fffffffff,251.0,0.0,0.0,0.0
8326e6fffffffff,54.0,0.0,0.0,0.0
8326eefffffffff,281.0,0.0,0.0,0.0
8326f0fffffffff,129.0,0.0,0.0,0.0
8326f4fffffffff,33.0,0.0,0.0,0.0
8326f5fffffffff,80.0,0.0,0.0,0.0
8326f6fffffffff,27.0,0.0,0.0,0.0
83270afffffffff,4.0,0.0,0.0,0.0
832718fffffffff,50.0,0.0,0.0,0.0
832719fffffffff,242.0,0.0,0.0,0.0
83271dfffffffff,1.0,0.0,0.0,0.0
832751fffffffff,22.0,0.0,0.0,0.0
83275cfffffffff,911.0,0.0,0.0,0.0
834893fffffffff,349.0,0.0,0.0,214.0
