cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
824507fffffffff,221.0,0.0,1.0
82450ffffffffff,1449.0,0.0,349.0
82451ffffffffff,3.0,0.0,0.0
824527fffffffff,1345.0,0.0,30.0
82452ffffffffff,7956.0,0.0,532.0
824537fffffffff,66.0,0.0,0.0
824577fffffffff,23.0,0.0,10.0
824807fffffffff,1.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0
824837fffffffff,912.0,106.0,0.0
824987fffffffff,229.0,98.0,0.0
82498ffffffffff,4.0,0.0,0.0
824997fffffffff,645.0,211.0,47.0
82499ffffffffff,24.0,0.0,0.0
8249a7fffffffff,18.0,7.0,0.0
8249affffffffff,1277.0,194.0,0.0
8249b7fffffffff,706.0,227.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f2ffffffffff,40.0,0.0,0.0
825f6ffffffffff,6.0,0.0,0.0
826607fffffffff,21.0,0.0,0.0
82660ffffffffff,67.0,0.0,0.0
826617fffffffff,121.0,0.0,4.0
82661ffffffffff,904.0,0.0,32.0
826627fffffffff,241.0,0.0,0.0
82662ffffffffff,12.0,0.0,0.0
826637fffffffff,17.0,0.0,0.0
826677fffffffff,8.0,0.0,0.0
826687fffffffff,7.0,0.0,0.0
8266a7fffffffff,977.0,0.0,62.0
8266b7fffffffff,1041.0,0.0,1.0
8266c7fffffffff,78.0,0.0,0.0
8266d7fffffffff,388.0,0.0,46.0
8266e7fffffffff,842.0,0.0,2.0
8266f7fffffffff,117.0,0.0,3.0
826747fffffffff,6.0,0.0,0.0
82674ffffffffff,111.0,0.0,19.0
826757fffffffff,43.0,0.0,0.0
82675ffffffffff,18.0,0.0,0.0
826797fffffffff,50.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
8267b7fffffffff,5.0,0.0,0.0
826d07fffffffff,140.0,0.0,34.0
826d17fffffffff,499.0,42.0,0.0
826d27fffffffff,467.0,0.0,118.0
826d2ffffffffff,1544.0,0.0,266.0
826d37fffffffff,1139.0,9.0,46.0
826d67fffffffff,406.0,0.0,1.0
826d6ffffffffff,3727.0,0.0,0.0
826d77fffffffff,145.0,0.0,0.0
828007fffffffff,17.0,0.0,2.0
828017fffffffff,54.0,0.0,4.0
828027fffffffff,16.0,0.0,0.0
828037fffffffff,129.0,0.0,3.0
828107fffffffff,77.0,0.0,0.0
82810ffffffffff,2.0,0.0,0.0
828117fffffffff,1.0,0.0,0.0
82811ffffffffff,10.0,0.0,0.0
828127fffffffff,207.0,0.0,9.0
82812ffffffffff,2.0,0.0,0.0
828137fffffffff,41.0,0.0,3.0
828147fffffffff,23.0,0.0,0.0
82814ffffffffff,22.0,0.0,0.0
82815ffffffffff,8.0,0.0,0.0
828167fffffffff,7.0,0.0,0.0
828177fffffffff,34.0,0.0,0.0
82818ffffffffff,41.0,0.0,0.0
8281affffffffff,19.0,0.0,2.0
828a07fffffffff,3.0,0.0,0.0
