cell_id,Orthorhyncus cristatus,Orthorhyncus cristatus exilis,Orthorhyncus cristatus ornatus,Orthorhyncus cristatus cristatus,Orthorhyncus cristatus emigrans
844ce85ffffffff,84.0,0.0,0.0,0.0,0.0
844cea9ffffffff,29.0,2.0,0.0,0.0,0.0
844cee3ffffffff,7.0,3.0,0.0,0.0,0.0
844d497ffffffff,1.0,0.0,0.0,0.0,0.0
845e463ffffffff,1.0,1.0,0.0,0.0,0.0
845e4b5ffffffff,1.0,1.0,0.0,0.0,0.0
845e667ffffffff,11.0,2.0,0.0,0.0,6.0
845e705ffffffff,3.0,0.0,0.0,1.0,0.0
845e717ffffffff,2.0,0.0,0.0,0.0,0.0
845e71bffffffff,15.0,15.0,0.0,0.0,0.0
845e72bffffffff,9.0,0.0,0.0,7.0,0.0
