cell_id,Phylloscopus humei,Phylloscopus humei humei,Phylloscopus humei mandellii
84200a7ffffffff,3.0,0.0,0.0
84200adffffffff,17.0,0.0,0.0
84200e1ffffffff,2.0,0.0,0.0
84200e3ffffffff,4.0,0.0,0.0
8420101ffffffff,9.0,0.0,0.0
8420103ffffffff,1.0,0.0,0.0
842010dffffffff,2.0,0.0,0.0
8420123ffffffff,7.0,0.0,0.0
8420125ffffffff,1.0,0.0,0.0
8420139ffffffff,7.0,0.0,0.0
842013dffffffff,5.0,0.0,0.0
8420185ffffffff,2.0,0.0,0.0
8420187ffffffff,14.0,0.0,0.0
8420191ffffffff,6.0,0.0,0.0
8420193ffffffff,8.0,0.0,0.0
8420199ffffffff,41.0,0.0,0.0
84201a1ffffffff,6.0,0.0,0.0
84201a3ffffffff,9.0,0.0,0.0
84201a7ffffffff,2.0,0.0,0.0
84201abffffffff,12.0,0.0,0.0
84201adffffffff,4.0,0.0,0.0
84201b1ffffffff,4.0,0.0,0.0
84201b5ffffffff,5.0,0.0,0.0
84201bdffffffff,13.0,0.0,0.0
8420485ffffffff,6.0,0.0,0.0
8420497ffffffff,2.0,0.0,0.0
84204a1ffffffff,6.0,0.0,0.0
84204a5ffffffff,5.0,0.0,0.0
84204a7ffffffff,1.0,0.0,0.0
84204a9ffffffff,1.0,0.0,0.0
84204abffffffff,9.0,0.0,0.0
84204b3ffffffff,14.0,0.0,0.0
84204b7ffffffff,2.0,0.0,0.0
84204b9ffffffff,3.0,0.0,0.0
84204d1ffffffff,5.0,0.0,0.0
84204d3ffffffff,6.0,0.0,0.0
84204d9ffffffff,4.0,0.0,0.0
84204ddffffffff,2.0,0.0,0.0
8420591ffffffff,6.0,0.0,0.0
8420599ffffffff,1.0,0.0,0.0
84205b9ffffffff,5.0,0.0,0.0
84205e3ffffffff,4.0,0.0,0.0
84206b5ffffffff,2.0,0.0,0.0
84206bdffffffff,10.0,0.0,0.0
84206e5ffffffff,1.0,0.0,0.0
8420807ffffffff,4.0,0.0,0.0
8420809ffffffff,2.0,0.0,0.0
8420839ffffffff,2.0,0.0,0.0
842083bffffffff,2.0,0.0,0.0
84208a7ffffffff,1.0,0.0,0.0
84208d7ffffffff,2.0,0.0,0.0
8420983ffffffff,3.0,0.0,0.0
8420991ffffffff,2.0,0.0,0.0
8420999ffffffff,7.0,0.0,0.0
842099bffffffff,12.0,0.0,0.0
842099dffffffff,1.0,0.0,0.0
84209a3ffffffff,4.0,0.0,0.0
84209a5ffffffff,297.0,0.0,0.0
84209a7ffffffff,6.0,0.0,0.0
84209b5ffffffff,5.0,0.0,0.0
84209b7ffffffff,4.0,0.0,0.0
84209e1ffffffff,1.0,0.0,0.0
84209e3ffffffff,6.0,0.0,0.0
84209e7ffffffff,40.0,0.0,0.0
8420a05ffffffff,1.0,0.0,0.0
8420a23ffffffff,4.0,0.0,0.0
8420a25ffffffff,3.0,0.0,0.0
8420a27ffffffff,38.0,0.0,0.0
8420a2bffffffff,2.0,0.0,0.0
8420a53ffffffff,10.0,0.0,0.0
8420a65ffffffff,7.0,0.0,0.0
8420a85ffffffff,3.0,0.0,0.0
8420a87ffffffff,2.0,0.0,0.0
8420a9bffffffff,2.0,0.0,0.0
8420aa9ffffffff,1.0,0.0,0.0
8420ad1ffffffff,22.0,0.0,0.0
8420ad7ffffffff,3.0,0.0,0.0
8420ae3ffffffff,1.0,0.0,0.0
8420b1bffffffff,9.0,0.0,0.0
8420c49ffffffff,6.0,0.0,0.0
8420e05ffffffff,7.0,0.0,0.0
8420e07ffffffff,14.0,0.0,0.0
8420e0dffffffff,3.0,0.0,0.0
8420e21ffffffff,5.0,0.0,0.0
8420e23ffffffff,17.0,0.0,0.0
