cell_id,Turdoides atripennis,Turdoides atripennis atripennis,Turdoides atripennis rubiginosus,Turdoides atripennis bohndorffi
8254cffffffffff,1.0,0.0,0.0,0.0
8254e7fffffffff,1.0,0.0,0.0,0.0
8254effffffffff,5.0,0.0,0.0,0.0
8254f7fffffffff,31.0,11.0,0.0,0.0
825887fffffffff,3.0,0.0,0.0,0.0
825897fffffffff,49.0,0.0,5.0,0.0
8258f7fffffffff,3.0,0.0,0.0,0.0
826a17fffffffff,1.0,0.0,0.0,0.0
826ac7fffffffff,18.0,0.0,0.0,0.0
82752ffffffffff,22.0,0.0,1.0,0.0
827587fffffffff,11.0,0.0,0.0,0.0
8275a7fffffffff,3.0,0.0,0.0,0.0
8275b7fffffffff,10.0,0.0,0.0,0.0
