cell_id,Pharomachrus mocinno,Pharomachrus mocinno mocinno,Pharomachrus mocinno costaricensis
8445201ffffffff,34.0,0.0,0.0
8445207ffffffff,5.0,0.0,0.0
844520dffffffff,185.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0
8445243ffffffff,44.0,0.0,0.0
8445245ffffffff,1.0,0.0,0.0
8445247ffffffff,36.0,0.0,0.0
844524bffffffff,14.0,0.0,0.0
8445255ffffffff,9.0,0.0,0.0
844525bffffffff,105.0,59.0,0.0
844525dffffffff,3.0,0.0,0.0
8445261ffffffff,3.0,0.0,0.0
8445263ffffffff,2.0,0.0,0.0
8445269ffffffff,29.0,0.0,0.0
844526bffffffff,13.0,0.0,0.0
844526dffffffff,1.0,0.0,0.0
8445309ffffffff,10.0,0.0,0.0
8445343ffffffff,4.0,0.0,0.0
8445351ffffffff,72.0,0.0,0.0
8445359ffffffff,3.0,0.0,0.0
8466a2dffffffff,2.0,0.0,0.0
8466b41ffffffff,1512.0,0.0,109.0
8466b43ffffffff,5.0,0.0,0.0
8466b45ffffffff,2295.0,0.0,129.0
8466b49ffffffff,4.0,0.0,0.0
8466b4dffffffff,1662.0,0.0,0.0
8466b51ffffffff,1381.0,0.0,207.0
8466b55ffffffff,9.0,0.0,0.0
8466b5bffffffff,52.0,0.0,12.0
8466b5dffffffff,35.0,0.0,0.0
84679a7ffffffff,20.0,0.0,0.0
846d04bffffffff,4.0,2.0,0.0
846d059ffffffff,21.0,3.0,0.0
846d05bffffffff,719.0,341.0,0.0
846d207ffffffff,63.0,5.0,0.0
846d21bffffffff,2.0,2.0,0.0
846d283ffffffff,2.0,0.0,0.0
846d287ffffffff,24.0,0.0,0.0
846d28dffffffff,3.0,0.0,0.0
846d291ffffffff,1.0,0.0,0.0
846d2a9ffffffff,3.0,0.0,0.0
846d2abffffffff,138.0,64.0,0.0
846d2b9ffffffff,525.0,305.0,0.0
846d2c7ffffffff,16.0,0.0,0.0
846d2d1ffffffff,12.0,0.0,0.0
846d2d3ffffffff,409.0,208.0,0.0
846d2d5ffffffff,2.0,0.0,0.0
846d2d7ffffffff,45.0,12.0,0.0
846d2e5ffffffff,4.0,0.0,0.0
846d2ebffffffff,9.0,0.0,0.0
846d645ffffffff,20.0,0.0,0.0
846d64dffffffff,160.0,0.0,0.0
846d651ffffffff,4.0,0.0,0.0
846d653ffffffff,168.0,0.0,0.0
846d655ffffffff,1.0,0.0,0.0
846d659ffffffff,1.0,0.0,0.0
846d65bffffffff,3.0,0.0,0.0
846d65dffffffff,9.0,0.0,0.0
846d66dffffffff,75.0,0.0,0.0
846d691ffffffff,287.0,0.0,0.0
846d695ffffffff,4.0,0.0,0.0
846d69bffffffff,290.0,0.0,0.0
846d69dffffffff,2652.0,0.0,0.0
846d749ffffffff,38.0,0.0,0.0
