cell_id,Electron platyrhynchum,Electron platyrhynchum [platyrhynchum Group],Electron platyrhynchum [pyrrholaemum Group]
8445225ffffffff,43.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
84661b1ffffffff,7.0,0.0,0.0
8466b4dffffffff,6.0,0.0,0.0
8466c0dffffffff,32.0,0.0,0.0
8466c21ffffffff,3.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c29ffffffff,1.0,0.0,0.0
8466c2bffffffff,2.0,0.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d0bffffffff,19.0,6.0,0.0
8466d1bffffffff,1.0,0.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466d3dffffffff,3.0,3.0,0.0
8466debffffffff,2.0,0.0,0.0
8466f0bffffffff,2.0,0.0,0.0
84679a5ffffffff,14.0,0.0,0.0
846d653ffffffff,11.0,0.0,0.0
846d65bffffffff,6.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
846d69bffffffff,2.0,2.0,0.0
846d69dffffffff,22.0,11.0,0.0
848b63bffffffff,1.0,0.0,1.0
848b745ffffffff,1.0,0.0,0.0
848f6b5ffffffff,4.0,4.0,0.0
848f72bffffffff,6.0,0.0,0.0
