cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
832600fffffffff,2.0,0.0,0.0
832601fffffffff,3.0,0.0,0.0
832603fffffffff,1.0,0.0,0.0
832604fffffffff,2.0,0.0,0.0
832605fffffffff,2.0,0.0,0.0
83260afffffffff,12.0,0.0,0.0
83260bfffffffff,121.0,0.0,0.0
83260cfffffffff,2.0,0.0,0.0
83260dfffffffff,4.0,0.0,0.0
83260efffffffff,4.0,0.0,0.0
832619fffffffff,14.0,0.0,0.0
83261dfffffffff,8.0,0.0,0.0
832620fffffffff,37.0,0.0,0.0
832621fffffffff,34.0,0.0,0.0
832622fffffffff,8.0,0.0,0.0
832623fffffffff,20.0,0.0,0.0
832624fffffffff,7.0,0.0,0.0
832625fffffffff,3.0,0.0,0.0
832626fffffffff,27.0,0.0,0.0
832628fffffffff,7.0,0.0,0.0
83262afffffffff,23.0,0.0,0.0
83262bfffffffff,3.0,0.0,0.0
83262cfffffffff,115.0,0.0,0.0
83262dfffffffff,32.0,0.0,0.0
83262efffffffff,27.0,0.0,0.0
832631fffffffff,4.0,0.0,0.0
832635fffffffff,1.0,0.0,0.0
832640fffffffff,7.0,0.0,0.0
832641fffffffff,56.0,0.0,0.0
832643fffffffff,18.0,0.0,0.0
832646fffffffff,74.0,0.0,0.0
832649fffffffff,7.0,0.0,0.0
83264bfffffffff,4.0,0.0,0.0
83264efffffffff,1.0,0.0,0.0
832652fffffffff,14.0,0.0,0.0
832653fffffffff,10.0,0.0,0.0
832654fffffffff,25.0,0.0,0.0
832655fffffffff,75.0,0.0,0.0
832656fffffffff,14.0,0.0,0.0
832658fffffffff,2.0,0.0,0.0
832659fffffffff,3.0,0.0,0.0
83265bfffffffff,5.0,0.0,0.0
83265dfffffffff,24.0,0.0,0.0
832660fffffffff,35.0,0.0,0.0
832661fffffffff,10.0,0.0,0.0
832662fffffffff,25.0,0.0,0.0
832663fffffffff,6.0,0.0,0.0
832664fffffffff,269.0,0.0,0.0
832665fffffffff,10.0,0.0,0.0
832666fffffffff,56.0,0.0,0.0
832668fffffffff,3.0,0.0,0.0
83266afffffffff,22.0,0.0,0.0
83266cfffffffff,11.0,0.0,0.0
83266efffffffff,180.0,0.0,0.0
832671fffffffff,67.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832674fffffffff,8.0,0.0,0.0
832675fffffffff,1.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
8326c8fffffffff,4.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0
8326cbfffffffff,2.0,0.0,0.0
8326e1fffffffff,2.0,0.0,0.0
8326e2fffffffff,249.0,0.0,0.0
8326e3fffffffff,8.0,0.0,0.0
8326e5fffffffff,282.0,0.0,0.0
8326e9fffffffff,2.0,0.0,0.0
8326eafffffffff,4.0,0.0,0.0
832702fffffffff,111.0,0.0,0.0
832703fffffffff,15.0,0.0,0.0
832706fffffffff,2.0,0.0,0.0
83270bfffffffff,2.0,0.0,0.0
832713fffffffff,13.0,0.0,0.0
832719fffffffff,13.0,0.0,0.0
83271dfffffffff,9.0,0.0,0.0
832740fffffffff,9.0,0.0,0.0
832741fffffffff,49.0,0.0,0.0
832742fffffffff,2.0,0.0,0.0
832743fffffffff,116.0,0.0,0.0
832745fffffffff,13.0,0.0,0.0
832748fffffffff,52.0,0.0,0.0
832749fffffffff,107.0,0.0,0.0
83274afffffffff,32.0,0.0,0.0
83274bfffffffff,80.0,0.0,0.0
83274cfffffffff,22.0,0.0,0.0
83274dfffffffff,65.0,0.0,0.0
83274efffffffff,84.0,0.0,0.0
832751fffffffff,25.0,0.0,0.0
832752fffffffff,65.0,0.0,0.0
832753fffffffff,11.0,0.0,0.0
832758fffffffff,2.0,0.0,0.0
832759fffffffff,341.0,0.0,0.0
83275afffffffff,7.0,0.0,0.0
83275bfffffffff,52.0,0.0,0.0
83275cfffffffff,254.0,0.0,0.0
83275dfffffffff,452.0,0.0,0.0
83275efffffffff,2.0,0.0,0.0
832769fffffffff,35.0,0.0,0.0
83276afffffffff,19.0,0.0,0.0
83276bfffffffff,342.0,0.0,0.0
83276dfffffffff,29.0,0.0,0.0
83276efffffffff,4.0,0.0,0.0
832830fffffffff,2.0,0.0,0.0
832832fffffffff,77.0,0.0,0.0
832912fffffffff,25.0,0.0,0.0
832980fffffffff,4.0,0.0,0.0
832982fffffffff,8.0,0.0,0.0
832985fffffffff,4.0,0.0,0.0
832986fffffffff,566.0,0.0,0.0
83298cfffffffff,6.0,0.0,0.0
8329a0fffffffff,160.0,0.0,0.0
8329a1fffffffff,872.0,0.0,0.0
8329a3fffffffff,8.0,0.0,0.0
8329a4fffffffff,652.0,0.0,0.0
8329a5fffffffff,1158.0,0.0,0.0
8329a6fffffffff,664.0,0.0,0.0
8329a8fffffffff,1.0,0.0,0.0
8329aafffffffff,39.0,0.0,0.0
8329acfffffffff,55.0,0.0,0.0
8329aefffffffff,7.0,0.0,0.0
8329b0fffffffff,218.0,0.0,0.0
8329b1fffffffff,126.0,0.0,0.0
8329b5fffffffff,60.0,0.0,0.0
8329b6fffffffff,17.0,0.0,0.0
832a10fffffffff,336.0,0.0,0.0
832a12fffffffff,50.0,0.0,0.0
832a13fffffffff,284.0,0.0,0.0
832a14fffffffff,281.0,2.0,0.0
832a15fffffffff,16.0,0.0,0.0
832a16fffffffff,261.0,0.0,0.0
832a1afffffffff,2.0,0.0,0.0
832a30fffffffff,881.0,0.0,0.0
832a33fffffffff,11.0,0.0,0.0
832a4cfffffffff,20.0,0.0,0.0
832a82fffffffff,4.0,0.0,0.0
832a85fffffffff,6.0,0.0,0.0
832a8dfffffffff,77.0,0.0,0.0
