cell_id,Synallaxis rutilans,Synallaxis rutilans [rutilans Group],Synallaxis rutilans omissa
825f07fffffffff,25.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0
825f77fffffffff,3.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0
82665ffffffffff,42.0,0.0,0.0
82666ffffffffff,14.0,0.0,0.0
8266dffffffffff,28.0,0.0,0.0
828047fffffffff,7.0,0.0,0.0
828067fffffffff,18.0,0.0,0.0
828077fffffffff,9.0,0.0,0.0
828147fffffffff,1.0,0.0,0.0
82814ffffffffff,64.0,0.0,0.0
82815ffffffffff,8.0,0.0,0.0
828a07fffffffff,19.0,1.0,0.0
828a17fffffffff,18.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a37fffffffff,12.0,0.0,0.0
828a6ffffffffff,65.0,0.0,0.0
828a77fffffffff,3.0,0.0,0.0
828a87fffffffff,28.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0
828aaffffffffff,19.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828adffffffffff,7.0,0.0,0.0
828af7fffffffff,27.0,1.0,0.0
828b0ffffffffff,1.0,0.0,0.0
828b17fffffffff,5.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,215.0,0.0,0.0
828b57fffffffff,10.0,0.0,0.0
828b67fffffffff,24.0,0.0,0.0
828b6ffffffffff,26.0,0.0,0.0
828b77fffffffff,30.0,0.0,0.0
828b87fffffffff,5.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0
828b9ffffffffff,25.0,0.0,0.0
828f4ffffffffff,18.0,0.0,0.0
828f67fffffffff,18.0,0.0,0.0
828f6ffffffffff,1.0,0.0,0.0
828f77fffffffff,15.0,0.0,0.0
