cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
8426c91ffffffff,2.0,0.0,0.0
8426c9bffffffff,1.0,0.0,0.0
8426c9dffffffff,1.0,0.0,0.0
8426cb9ffffffff,5.0,0.0,0.0
842ad03ffffffff,1.0,0.0,0.0
842ad15ffffffff,26.0,0.0,0.0
842ad37ffffffff,62.0,0.0,0.0
8444123ffffffff,89.0,5.0,0.0
8444125ffffffff,72.0,1.0,0.0
8444127ffffffff,3.0,2.0,0.0
844412dffffffff,57.0,4.0,0.0
8444131ffffffff,7193.0,971.0,0.0
8444133ffffffff,1298.0,300.0,0.0
8444135ffffffff,591.0,41.0,0.0
8444137ffffffff,3095.0,353.0,0.0
844413bffffffff,230.0,25.0,0.0
844413dffffffff,2283.0,154.0,0.0
8444165ffffffff,21.0,0.0,0.0
84441a1ffffffff,323.0,74.0,0.0
84441a3ffffffff,376.0,40.0,0.0
84441a5ffffffff,238.0,33.0,0.0
84441a7ffffffff,217.0,14.0,0.0
84441a9ffffffff,163.0,3.0,0.0
84441abffffffff,239.0,57.0,0.0
84441adffffffff,408.0,28.0,0.0
84441b5ffffffff,10.0,0.0,0.0
84441b7ffffffff,3.0,0.0,0.0
84441e1ffffffff,245.0,22.0,0.0
84441e3ffffffff,48.0,2.0,0.0
84441e5ffffffff,3253.0,154.0,0.0
84441e7ffffffff,5417.0,445.0,0.0
84441edffffffff,240.0,2.0,0.0
8444401ffffffff,54.0,0.0,0.0
8444409ffffffff,53.0,0.0,0.0
844440bffffffff,9.0,0.0,0.0
8444415ffffffff,2.0,0.0,0.0
844441dffffffff,1.0,0.0,0.0
8444439ffffffff,7.0,0.0,0.0
8444441ffffffff,9.0,0.0,0.0
8444443ffffffff,15.0,0.0,0.0
8444445ffffffff,20.0,0.0,0.0
844444bffffffff,92.0,0.0,0.0
844444dffffffff,3.0,0.0,0.0
8444451ffffffff,131.0,0.0,0.0
8444453ffffffff,2.0,0.0,0.0
8444455ffffffff,34.0,0.0,0.0
8444459ffffffff,1951.0,0.0,0.0
844445bffffffff,27.0,0.0,0.0
844445dffffffff,427.0,0.0,0.0
8444461ffffffff,240.0,0.0,0.0
8444465ffffffff,1173.0,0.0,0.0
8444467ffffffff,56.0,0.0,0.0
8444469ffffffff,28.0,0.0,0.0
844446dffffffff,16.0,0.0,0.0
84444a5ffffffff,65.0,0.0,0.0
84444d9ffffffff,2.0,0.0,0.0
84444dbffffffff,2.0,0.0,0.0
