cell_id,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus alfredi,Phyllastrephus flavostriatus [flavostriatus Group]
826ac7fffffffff,6.0,0.0,0.0
826acffffffffff,8.0,0.0,4.0
826adffffffffff,525.0,0.0,112.0
827b4ffffffffff,124.0,0.0,26.0
827b6ffffffffff,4.0,0.0,0.0
82968ffffffffff,3.0,0.0,0.0
8296a7fffffffff,22.0,13.0,0.0
8296b7fffffffff,22.0,0.0,0.0
8296d7fffffffff,4.0,0.0,2.0
829707fffffffff,84.0,0.0,19.0
829717fffffffff,55.0,0.0,12.0
82971ffffffffff,58.0,0.0,4.0
82972ffffffffff,242.0,0.0,61.0
829797fffffffff,2.0,0.0,0.0
8297a7fffffffff,1.0,0.0,0.0
8297affffffffff,27.0,0.0,8.0
82bc0ffffffffff,1.0,0.0,0.0
82bc8ffffffffff,4.0,0.0,0.0
82bcd7fffffffff,141.0,0.0,49.0
82bcf7fffffffff,83.0,0.0,17.0
